expected_w_m_s,observed_w_m_s,abs_error_m_s,within_documented_tolerance,documented_tolerance_m_s,crossing_index
0.048,0.0485308349292831,0.0005308349292830958,True,0.01,0
0.77,0.7686396951174689,0.0013603048825311381,True,0.01,1
