backend_step_index,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,eigenvalue_regime,stability_classification,eigenvalue_source,jacobian_coordinate_system,physical_jacobian_11,physical_jacobian_12,physical_jacobian_13,physical_jacobian_21,physical_jacobian_22,physical_jacobian_23,physical_jacobian_31,physical_jacobian_32,physical_jacobian_33
10,-7.49722683904080700e+00,5.24900353541479170e+00,-1.70782362068989322e+01,1.43583375622780696e+00,9.06907736428691714e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.66711293680565228e-03,8.09492139093341643e-04,-2.66711293680565228e-03,-8.09492139093341643e-04,-3.59065408417855246e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10711330615413737e-04,-6.07383499514954817e+06,1.32561128458001349e+02,1.02183255630306271e-12,-5.08132335158946458e-03,3.34773096327083811e-10,-2.75341929127631294e-09,-6.84603904058131363e+00,-1.25659982428452108e-06
11,-7.48685927699067921e+00,5.25920439281090513e+00,-1.70679890290381344e+01,1.43586067800397288e+00,1.89735810933466895e-14,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.66490931598185442e-03,8.05337722488571836e-04,-2.66490931598185442e-03,-8.05337722488571836e-04,-3.63661234051225327e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10730189861683425e-04,-6.07374121492040996e+06,1.33924421690365733e+02,1.02191144981219190e-12,-5.08148025641097338e-03,3.38210768337143714e-10,-2.75363188821407619e-09,-6.84625050791772338e+00,-1.26941974228230963e-06
12,-7.47649171494055143e+00,5.26940525020701855e+00,-1.70577418511773367e+01,1.43588759978013880e+00,8.84650411954699191e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.66266840983279355e-03,8.01098828524135021e-04,-2.66266840983279355e-03,-8.01098828524135021e-04,-3.68331771380664267e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10749049690341309e-04,-6.07364743613924179e+06,1.35301735386036341e+02,1.02199034746299543e-12,-5.08163717092430765e-03,3.41683740641580635e-10,-2.75384449106052994e-09,-6.84646195566584392e+00,-1.28237043160526877e-06
13,-7.46612415289042453e+00,5.27982137411514696e+00,-1.70472784255967618e+01,1.43591508968730963e+00,1.93487025134142525e-14,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.66034080767988497e-03,7.96680492581184848e-04,-2.66034080767988497e-03,-7.96680492581184848e-04,-3.73179974248768532e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10768309628345889e-04,-6.07355167233368196e+06,1.36722731809423493e+02,1.02207091815460023e-12,-5.08179742564137359e-03,3.45266805015142133e-10,-2.75406158996994538e-09,-6.84667782847570638e+00,-1.29585433881874365e-06
14,-7.45575659084029674e+00,5.29023749802327536e+00,-1.70368150000161869e+01,1.43594257959448046e+00,9.42964098710234871e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.65797241402233354e-03,7.92168285183093390e-04,-2.65797241402233354e-03,-7.92168285183093390e-04,-3.78109912617495092e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10787570173711419e-04,-6.07345591003803909e+06,1.38158652142171633e+02,1.02215149316567111e-12,-5.08195769046481879e-03,3.48887443170476832e-10,-2.75427869504087824e-09,-6.84689368086286798e+00,-1.30948002363394357e-06
15,-7.44538902879016895e+00,5.30043837340808555e+00,-1.70265678158057199e+01,1.43596950139756152e+00,1.97536598920346774e-14,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.65561241954201475e-03,7.87655404087774479e-04,-2.65561241954201475e-03,-7.87655404087774479e-04,-3.83019002619474041e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10806427034856674e-04,-6.07336215922466666e+06,1.39579513196375359e+02,1.02223039155226815e-12,-5.08211457523454965e-03,3.52470055620588750e-10,-2.75449130534763464e-09,-6.84710512257634285e+00,-1.32283943409751251e-06
16,-7.43502146674004205e+00,5.31063924879289573e+00,-1.70163206315952529e+01,1.43599642320064258e+00,9.22017915161439086e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.65321132472290735e-03,7.83046369429909214e-04,-2.65321132472290735e-03,-7.83046369429909214e-04,-3.88010439843913346e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10825284478170249e-04,-6.07326840985844377e+06,1.41014986771069459e+02,1.02230929407975356e-12,-5.08227146969245785e-03,3.56089456760635384e-10,-2.75470392156196897e-09,-6.84731654470885687e+00,-1.33633511910150911e-06
17,-7.42465390468991426e+00,5.32105539067018896e+00,-1.70058571996817527e+01,1.43602391313468258e+00,2.01490221966724527e-14,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.65071606573710067e-03,7.78237419502252254e-04,-2.65071606573710067e-03,-7.78237419502252254e-04,-3.93194502293773445e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10844542081612056e-04,-6.07317267558532674e+06,1.42495987647783721e+02,1.02238987000457063e-12,-5.08243170519375072e-03,3.59823591654700908e-10,-2.75492103434551732e-09,-6.84753239022437299e+00,-1.35038649261266035e-06
18,-7.41428634263978648e+00,5.33147153254748218e+00,-1.69953937677682525e+01,1.43605140306872259e+00,9.80508241942128934e-11,true,0,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.64817572494253223e-03,7.73321142639539494e-04,-2.64817572494253223e-03,-7.73321142639539494e-04,-3.98468886815605617e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10863800292192442e-04,-6.07307694282129034e+06,1.43992542641454236e+02,1.02247045024807506e-12,-5.08259195079770621e-03,3.63596884583759040e-10,-2.75513815328945895e-09,-6.84774821532475819e+00,-1.36458561077852273e-06
19,-7.40391878058965869e+00,5.34167242591157532e+00,-1.69851465772117649e+01,1.43607832489870457e+00,2.05682454644281237e-14,true,1,converged,1.03675620501275344e-02,natural_parameter_predictor_corrector,-2.64564301510715992e-03,7.68398816078720765e-04,-2.64564301510715992e-03,-7.68398816078720765e-04,-4.03723947295402043e-04,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state,-6.10882654769086589e-04,-6.07298322140724864e+06,1.45473402495289889e+02,1.02254935351116718e-12,-5.08274881552296144e-03,3.67330548715919488e-10,-2.75535077696263060e-09,-6.84795963142488695e+00,-1.37850721768007327e-06
