expected_w_m_s,observed_w_m_s,abs_error_m_s,within_documented_tolerance,documented_tolerance_m_s,crossing_index
0.048,0.048530602841605625,0.0005306028416056235,True,0.01,0
0.77,0.7686802455170232,0.0013197544829768315,True,0.01,1
