curve_id,panel,color_name,pixel_x,pixel_y_median,pixel_y_min,pixel_y_max,pixels_in_column,temperature_K,w_m_s,log_w_ln_m_s,period_s,source_type,direct_digitization,validity
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,64,431.0,427,435,9,210.0,0.0004999999999999999,-7.600902459542082,16628.57142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,65,429.0,424,434,11,210.0,0.0005114917836890752,-7.57817903587057,16742.857142857145,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,66,436.5,432,441,10,210.0,0.000523247689562864,-7.555455612199057,16314.285714285714,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,67,442.0,438,446,9,210.0,0.0005352737880913935,-7.532732188527546,16000.0,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,68,447.5,441,452,10,210.0,0.0005475762892657505,-7.510008764856033,15685.714285714286,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,69,453.0,449,457,9,210.0,0.0005601615458047675,-7.487285341184521,15371.42857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,70,458.0,454,462,9,210.0,0.0005730360564354209,-7.464561917513008,15085.714285714286,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,71,463.0,460,466,7,210.0,0.000586206469248614,-7.441838493841495,14800.0,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,72,468.0,465,471,7,210.0,0.0005996795851320972,-7.419115070169983,14514.285714285716,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,73,472.0,469,475,7,210.0,0.0006134623612822827,-7.39639164649847,14285.714285714284,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,74,476.5,474,479,6,210.0,0.0006275619147967733,-7.373668222826959,14028.57142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,75,481.0,478,484,7,210.0,0.0006419855263494667,-7.350944799155446,13771.42857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,76,485.0,482,488,7,210.0,0.000656740643950117,-7.328221375483934,13542.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,77,489.0,487,491,5,210.0,0.0006718348867903152,-7.305497951812421,13314.285714285716,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,78,492.5,490,495,6,210.0,0.0006872760491778524,-7.282774528140909,13114.285714285714,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,79,496.5,494,499,6,210.0,0.0007030721045615207,-7.2600511044693965,12885.714285714286,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,80,500.0,498,502,5,210.0,0.0007192312096484092,-7.2373276807978835,12685.714285714286,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,81,503.0,501,505,5,210.0,0.0007357617086158321,-7.214604257126372,12514.285714285714,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,82,506.0,504,508,5,210.0,0.0007526721374200679,-7.191880833454859,12342.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,83,509.5,508,511,4,210.0,0.0007699712282041185,-7.169157409783347,12142.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,84,513.0,511,515,5,210.0,0.000787667913806786,-7.146433986111834,11942.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,85,515.5,514,517,4,210.0,0.0008057713323753714,-7.123710562440322,11800.0,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,86,518.5,517,520,4,210.0,0.0008242908320844037,-7.100987138768809,11628.57142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,87,521.5,520,523,4,210.0,0.0008432359759628073,-7.078263715097297,11457.142857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,88,524.0,522,526,5,210.0,0.000862616546832029,-7.055540291425785,11314.285714285714,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,89,526.5,525,528,4,210.0,0.0008824425523576513,-7.032816867754272,11171.428571428572,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,90,529.5,528,531,4,210.0,0.0009027242302171104,-7.01009344408276,11000.0,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,91,531.5,530,533,4,210.0,0.0009234720533861954,-6.987370020411247,10885.714285714284,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,92,534.5,533,536,4,210.0,0.0009446967355470359,-6.964646596739735,10714.285714285714,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,93,537.0,536,538,3,210.0,0.000966409236620401,-6.941923173068222,10571.428571428572,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,94,539.5,538,541,4,210.0,0.000988620768425133,-6.91919974939671,10428.57142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,95,541.5,540,543,4,210.0,0.0010113428004676708,-6.896476325725199,10314.285714285714,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,96,544.0,543,545,3,210.0,0.001034587065864628,-6.873752902053686,10171.42857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,97,545.5,544,547,4,210.0,0.0010583655674014907,-6.8510294783821735,10085.714285714286,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,98,548.0,547,549,3,210.0,0.0010826905837305783,-6.82830605471066,9942.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,99,550.0,549,551,3,210.0,0.0011075746757114391,-6.805582631039148,9828.571428571428,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,100,552.5,551,554,4,210.0,0.0011330306928969873,-6.782859207367635,9685.714285714284,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,101,554.5,553,556,4,210.0,0.0011590717801686977,-6.760135783696123,9571.42857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,102,556.5,555,558,4,210.0,0.0011857113845243179,-6.737412360024611,9457.142857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,103,558.0,557,559,3,210.0,0.0012129632620215738,-6.714688936353099,9371.428571428572,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,104,560.0,559,561,3,210.0,0.0012408414848814678,-6.691965512681587,9257.142857142857,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,105,562.0,561,563,3,210.0,0.0012693604487548466,-6.669242089010074,9142.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,106,564.0,563,565,3,210.0,0.001298534880155963,-6.6465186653385615,9028.57142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,107,566.0,565,567,3,210.0,0.0013283798440669073,-6.6237952416670485,8914.285714285714,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,108,568.0,567,569,3,210.0,0.001358910751716796,-6.601071817995536,8800.0,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,109,569.0,568,570,3,210.0,0.0013901433685397722,-6.578348394324024,8742.857142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,110,571.0,570,572,3,210.0,0.0014220938223158965,-6.555624970652512,8628.57142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,111,573.0,572,574,3,210.0,0.0014547786114991455,-6.532901546981,8514.285714285714,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,112,574.5,574,575,2,210.0,0.0014882146137368281,-6.510178123309488,8428.57142857143,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,113,576.5,576,577,2,210.0,0.0015224190945847982,-6.487454699637975,8314.285714285716,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,114,578.0,577,579,3,210.0,0.0015574097164229724,-6.464731275966462,8228.571428571428,direct_digitized_curve_pixel,True,valid_curve_pixel
equilibrium_linearized_period_red_curve,lower_T210K_slice,red,115,579.0,578,580,3,210.0,0.001593204547575766,-6.4420078522949495,8171.428571428572,direct_digitized_curve_pixel,True,valid_curve_pixel
