backend_step_index,T,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode,hopf_frequency,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,eigenvalue_regime,stability_classification,eigenvalue_source,jacobian_coordinate_system
0,2.30000000000000000e+02,-3.02555250996671798e+00,9.69549859656080848e+00,-1.26118148835829409e+01,1.44756833952051389e+00,4.92712025976607487e-17,true,0,converged,0.00000000000000000e+00,nox_loca_native_moore_spence_hopf_continuation,6.55772601301223088e-03,3.59664961319962860e-09,6.55772680557796268e-03,3.59664961319962860e-09,-6.55772680557796268e-03,-5.87521725338712233e-03,0.00000000000000000e+00,complex_pair,unstable,teuchos_lapack_geev,physical_ode_state
1,2.29500000000000000e+02,-3.05513867549876306e+00,9.68013674804656077e+00,-1.26676229531368225e+01,1.44939556941547520e+00,1.49666241482496679e-12,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,6.38762439305347231e-03,1.27480905938112416e-10,6.38762547077434146e-03,1.27480905938112416e-10,-6.38762547077434146e-03,-5.72351227005389422e-03,0.00000000000000000e+00,complex_pair,unstable,teuchos_lapack_geev,physical_ode_state
2,2.29000000000000000e+02,-3.08493428849955453e+00,9.66486615833412266e+00,-1.27236725968502391e+01,1.45121459371373196e+00,5.08131839168424308e-14,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,6.22094272207082688e-03,-4.95394344999695786e-09,6.22057849972228530e-03,-4.95394344999695786e-09,-6.22057849972228530e-03,-5.57450056242059754e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
3,2.28500000000000000e+02,-3.11489999871501988e+00,9.64971913441029727e+00,-1.27799281504999040e+01,1.45302549252540047e+00,2.00904013735770683e-15,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,6.05668956036580983e-03,1.50579954050471948e-13,6.05668953873758544e-03,1.50579954050471948e-13,-6.05668953873758544e-03,-5.42821535045204077e-03,0.00000000000000000e+00,complex_pair,mixed,teuchos_lapack_geev,physical_ode_state
4,2.28000000000000000e+02,-3.14509052954478774e+00,9.63463452054214819e+00,-1.28364479431441474e+01,1.45482809719357431e+00,5.16226695444710120e-14,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,5.89592895291524664e-03,-2.76945952911063220e-09,5.89580591577125619e-03,-2.76945952911063220e-09,-5.89580591577125619e-03,-5.28461699177119361e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
5,2.27500000000000000e+02,-3.17547696047625294e+00,9.61963455587975425e+00,-1.28932066610524423e+01,1.45662246014883534e+00,4.85053941207513892e-14,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,5.73836562185382325e-03,-4.76614618090268408e-09,5.73799735234430380e-03,-4.76614618090268408e-09,-5.73799735234430380e-03,-5.14372495966903143e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
6,2.27000000000000000e+02,-3.20605324673965342e+00,9.60471891227744479e+00,-1.29502017783011283e+01,1.45840857362658061e+00,4.75805155584691865e-14,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,5.58365687937959539e-03,-4.83076975855067578e-09,5.58326729010578861e-03,-4.83076975855067578e-09,-5.58326729010578861e-03,-5.00553843310660215e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
7,2.26500000000000000e+02,-3.23682179106696744e+00,9.58987904791477952e+00,-1.30074391403581995e+01,1.46018640744067363e+00,4.74252352771699323e-14,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,5.43190626939994703e-03,-4.24717287847344721e-09,5.43159521064737975e-03,-4.24717287847344721e-09,-5.43159521064737975e-03,-4.87004805526561075e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
8,2.26000000000000000e+02,-3.26778366414140109e+00,9.57510793294010298e+00,-1.30649231960114687e+01,1.46195593491867903e+00,4.71276014028348630e-14,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,5.28321836321096229e-03,-3.79244815678367667e-09,5.28296213646095580e-03,-3.79244815678367667e-09,-5.28296213646095580e-03,-4.73724306443002070e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
9,2.25500000000000000e+02,-3.29893760719149620e+00,9.56040104154437564e+00,-1.31226560010820528e+01,1.46371713563937589e+00,4.66049914266232814e-14,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,5.13758205861560881e-03,-3.53281344900747279e-09,5.13735253020681723e-03,-3.53281344900747279e-09,-5.13735253020681723e-03,-4.60711192129403552e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
