backend_step_index,T,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode,hopf_frequency,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,lambda3_real,lambda3_imag,eigenvalue_regime,stability_classification,eigenvalue_source,jacobian_coordinate_system
0,2.30000000000000000e+02,-2.63080520917861438e-01,1.24428803104128640e+01,-9.85238144114934222e+00,1.45481839814213765e+00,4.89093781025722196e-17,true,0,converged,0.00000000000000000e+00,nox_loca_native_moore_spence_hopf_continuation,2.33690772311891150e-02,9.05270355975717339e-09,2.33690777442770239e-02,9.05270355975717339e-09,-2.33690777442770239e-02,-7.48334241275997857e-03,0.00000000000000000e+00,complex_pair,unstable,teuchos_lapack_geev,physical_ode_state
1,2.29500000000000000e+02,-2.89333994611751744e-01,1.24308654637104947e+01,-9.90484272990399006e+00,1.45667509236182791e+00,1.89537857619709022e-11,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.27992903826514069e-02,-3.89522832044963963e-09,2.27993180815661244e-02,-3.89522832044963963e-09,-2.27993180815661244e-02,-7.29120545084748373e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
2,2.29000000000000000e+02,-3.15876951821865093e-01,1.24188615646314062e+01,-9.95762575701326469e+00,1.45852353690869285e+00,1.66515834260293490e-13,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.22382869799951609e-02,-5.70140684121554775e-09,2.22377434666714766e-02,-5.70140684121554775e-09,-2.22377434666714766e-02,-7.10241900004124870e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
3,2.28500000000000000e+02,-3.42693433699797323e-01,1.24068776498779325e+01,-1.00107182337876797e+01,1.46036374957130866e+00,1.81440230351342091e-13,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.16851785781564735e-02,-5.80550700839555650e-09,2.16846287205497562e-02,-5.80550700839555650e-09,-2.16846287205497562e-02,-6.91699801966102860e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
4,2.28000000000000000e+02,-3.69779342878302608e-01,1.23949110716684689e+01,-1.00641197255401273e+01,1.46219571694498396e+00,1.86741113858657516e-13,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.11406082110826253e-02,-5.34529589915708897e-09,2.11400981401182880e-02,-5.34529589915708897e-09,-2.11400981401182880e-02,-6.73494968337743413e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
5,2.27500000000000000e+02,-3.97131453018512104e-01,1.23829585173939183e+01,-1.01178305850487646e+01,1.46401942347849667e+00,1.90590444902715238e-13,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.06047229965731875e-02,-4.89260290327487787e-09,2.06042524112052157e-02,-4.89260290327487787e-09,-2.06042524112052157e-02,-6.55627690491514432e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
6,2.27000000000000000e+02,-4.24747502323507109e-01,1.23710159008501321e+01,-1.01718520628886839e+01,1.46583485114917145e+00,1.93787781323694459e-13,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,2.00776004055846502e-02,-4.44648758009822190e-09,2.00771691234930653e-02,-4.44648758009822190e-09,-2.00771691234930653e-02,-6.38097853745464138e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
7,2.26500000000000000e+02,-4.52625251335340595e-01,1.23590793003895367e+01,-1.02261853659163648e+01,1.46764198195162376e+00,1.95344128148115330e-13,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,1.95593088330329387e-02,-4.04548022021173313e-09,1.95589133789177277e-02,-4.04548022021173313e-09,-1.95589133789177277e-02,-6.20904983054074416e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
8,2.26000000000000000e+02,-4.80762629952704912e-01,1.23471448131864125e+01,-1.02808318040265014e+01,1.46944079750381706e+00,1.97171767880295234e-13,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,1.90498992946244589e-02,-3.68009618327449876e-09,1.90495369051604246e-02,-3.68009618327449876e-09,-1.90495369051604246e-02,-6.04048258547230498e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
9,2.25500000000000000e+02,-5.09157643193335563e-01,1.23352086489642634e+01,-1.03357926961162381e+01,1.47123127929521580e+00,1.97678502789534531e-13,true,0,converged,-5.00000000000000000e-01,nox_loca_native_moore_spence_hopf_continuation,1.85494117123975039e-02,-3.35019265820346406e-09,1.85490795502073515e-02,-3.35019265820346406e-09,-1.85490795502073515e-02,-5.87526536906972027e-03,0.00000000000000000e+00,complex_pair,stable,teuchos_lapack_geev,physical_ode_state
