comparison,reference,variable,T_K,sample_count,median_signed_diff,median_abs_diff,max_abs_diff,median_rel_diff,max_rel_diff,max_loca_residual_norm,max_reference_residual_norm,all_reference_converged
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,190.0,101,-6.128927118424776e-16,4.264495793169024e-15,2.3616449314566787e-13,9.516761285066033e-10,3.394237284487494e-06,9.94685667825457e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,210.0,101,-8.181397005113905e-16,8.747552768267495e-16,2.046575970979502e-13,6.296368717436553e-10,1.693385037148828e-06,1.630732248334632e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,q,230.0,101,-2.7423055891525293e-15,2.9319003618682483e-15,6.181345490314791e-13,6.982290756289425e-10,1.6914624256322633e-06,1.2806002887503944e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,s,190.0,101,-3.5846881019097054e-12,5.489386722956624e-12,1.1538745958716845e-08,3.4912473333545134e-12,7.3536244146264874e-09,9.94685667825457e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,s,210.0,101,-3.0795366257052592e-12,3.0824232055692846e-12,5.017001036833335e-09,2.0331727451746943e-12,3.319323582067314e-09,1.630732248334632e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,s,230.0,101,-2.9665159217984183e-12,2.9689584124525936e-12,4.442194612153116e-09,2.0534357519597146e-12,3.081089278106676e-09,1.2806002887503944e-11,,True
loca_vs_python_root_solve,python_independent_root_solve_checks,n,190.0,17,7.47604644857347e-10,0.018019539449596778,0.0503167025744915,2.1157455923269425e-08,2.4399150563936926e-06,,8.743088760718078e-15,True
loca_vs_python_root_solve,python_independent_root_solve_checks,n,210.0,17,0.00028689565442618914,0.00028689565442618914,0.011380409705452621,1.2264697460170471e-08,1.688445459387716e-08,,5.326486532539747e-16,True
loca_vs_python_root_solve,python_independent_root_solve_checks,n,230.0,17,0.00014595541688322555,0.00014595541688322555,0.005778950813692063,1.3136011238121371e-08,1.809242164736854e-08,,2.838302158649496e-13,True
loca_vs_python_root_solve,python_independent_root_solve_checks,q,190.0,17,3.3616620094155045e-21,1.851435899610027e-14,1.1159513079388569e-13,6.928665559032242e-09,2.514142442363231e-06,,8.743088760718078e-15,True
loca_vs_python_root_solve,python_independent_root_solve_checks,q,210.0,17,3.129403669454244e-15,3.129403669454244e-15,1.254144154521665e-13,4.1488022175246644e-09,5.73435169873572e-09,,5.326486532539747e-16,True
loca_vs_python_root_solve,python_independent_root_solve_checks,q,230.0,17,1.048953743418464e-14,1.048953743418464e-14,4.201917270076419e-13,4.6014462720427e-09,6.358522521069697e-09,,2.838302158649496e-13,True
loca_vs_python_root_solve,python_independent_root_solve_checks,s,190.0,17,-2.3780977187470853e-13,3.98798771783504e-11,8.473849621992713e-09,2.5244331151339783e-11,5.398795614864062e-09,,8.743088760718078e-15,True
loca_vs_python_root_solve,python_independent_root_solve_checks,s,210.0,17,2.0342394435601818e-11,2.0342394435601818e-11,2.805156107399398e-11,1.3372112639519086e-11,1.853431756868187e-11,,5.326486532539747e-16,True
loca_vs_python_root_solve,python_independent_root_solve_checks,s,230.0,17,1.960986928395414e-11,1.960986928395414e-11,2.7254642986918043e-11,1.3519866112033593e-11,1.8880038322521556e-11,,2.838302158649496e-13,True
