comparison,reference,variable,T_K,log_w,w_m_s,loca_value,reference_value,signed_diff,abs_diff,rel_diff,loca_residual_norm,reference_residual_norm,reference_converged
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-5.298317366548036,0.005,9816.321012907028,9816.321012907465,-4.3655745685100555e-10,4.3655745685100555e-10,4.447261415727714e-14,4.6385982850267304e-17,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-5.238402721076956,0.0053087295892748,10419.14537339417,10419.127806161247,0.017567232924193377,0.017567232924193377,1.6860531545180489e-06,2.091900856901021e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-5.178488075605877,0.0056365219704085,11058.98942884839,11058.953672919011,0.0357559293788654,0.0357559293788654,3.2332004301941708e-06,5.4009925285876985e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-5.118573430134797,0.0059845541929811,11738.072126147908,11738.07214927044,-2.3122531274566427e-05,2.3122531274566427e-05,1.9698746932649898e-09,1.5814863957356819e-16,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-5.058658784663717,0.0063540759845796,12458.854231222298,12458.896352073474,-0.04212085117615061,0.04212085117615061,3.380785102136325e-06,5.0092616717280915e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.998744139192637,0.0067464142383678,13223.987538464691,13223.987538149944,3.1474701245315373e-07,3.1474701245315373e-07,2.3801218167942706e-11,3.749306318380589e-16,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.938829493721557,0.0071629777777457,14036.109835784891,14036.064464604151,0.04537118074040336,0.04537118074040336,3.2324612211803933e-06,6.367905904483867e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.878914848250478,0.0076052624152074,14898.012567102482,14898.01259622153,-2.9119048122083768e-05,2.9119048122083768e-05,1.9545592362748445e-09,3.7012072465046254e-16,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.819000202779398,0.0080748563235624,15812.84138171124,15812.894822613243,-0.053440902003785595,0.053440902003785595,3.3795774020682406e-06,6.368793711197755e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.7590855573083175,0.0085734457388078,16783.96202872468,16783.96207797979,-4.925511166220531e-05,4.925511166220531e-05,2.9346534169561184e-09,4.764663229107669e-16,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.699170911837238,0.0091028210151304,17814.722514543217,17814.6648723495,0.05764219371849322,0.05764219371849322,3.23564925984317e-06,7.678193504632757e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.639256266366158,0.0096648830537792,18908.665845229338,18908.665900687876,-5.545853855437599e-05,5.545853855437599e-05,2.932969403851938e-09,4.706895210401235e-16,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.579341620895079,0.0102616501288958,20069.784626432625,20069.85244970916,-0.06782327653490938,0.06782327653490938,3.379360994549426e-06,8.097303677480173e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.519426975423999,0.0108952651348111,21302.350792513094,21302.350833889348,-4.1376253648195416e-05,4.1376253648195416e-05,1.9423327486641065e-09,6.056791212035173e-16,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.459512329952919,0.0115680032808334,22610.613802483243,22610.540704085946,0.0730983972971444,0.0730983972971444,3.2329240566267273e-06,9.418982366217343e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.399597684481839,0.0122822802611579,23999.070583364773,23999.070582864457,5.003166734240949e-07,5.003166734240949e-07,2.084733538685015e-11,5.985783520319233e-16,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.339683039010759,0.0130406609292351,25472.874775249864,25472.87485005908,-7.480921703972854e-05,7.480921703972854e-05,2.9368187721283067e-09,1.75922768067417e-16,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.27976839353968,0.0138458685077463,27037.186588606084,27037.190460775528,-0.0038721694436389953,0.0038721694436389953,1.4321641330509483e-07,3.2618714966249087e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.2198537480686,0.0147007943672565,28697.564176673503,28697.576390809078,-0.012214135575050022,0.012214135575050022,4.2561557842779444e-07,9.792361384314916e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.159939102597519,0.01560850840866,30459.93282610233,30459.932915525707,-8.942337808548473e-05,8.942337808548473e-05,2.935770683851533e-09,9.015282689119569e-18,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.10002445712644,0.0165722700866999,32330.53168062341,32330.52253971851,0.009140904901869362,0.009140904901869362,2.8273289756468067e-07,6.548435898999257e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-4.04010981165536,0.0175955401141438,34316.007350353255,34315.992878716206,0.014471637048700359,0.014471637048700359,4.217168069976936e-07,9.846478014882602e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-3.98019516618428,0.0186819928886457,36423.41462560173,36423.399185704875,0.015439896851603407,0.015439896851603407,4.2390031276065004e-07,9.885603700368579e-11,,True
loca_vs_python_continuation,python_continuation_interpolated_on_loca_log_w,n,190.0,-3.920280520713201,0.0198355296869153,38660.24154394643,38660.23054496223,0.0109989842021605,0.0109989842021605,2.8450376311429855e-07,6.654778713316747e-11,,True
