panel,value_name,value_unit,T_K,curve_color,w_m_s,value,x_px_page,y_px_page,x_px_panel,y_px_panel,candidate_pixels_in_column_window,source_pdf,source_page,source_render_dpi,source_image,digitization_method,point_index
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.009357747349917383,18244.56878822947,714,4976.5,118,676.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,18
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.009660777060669892,18849.66532475457,720,4973.0,124,673.0,50,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,19
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.010686637667366468,21278.21646415797,739,4960.0,143,660.0,9,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,20
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.011032700517768976,21577.846394071395,745,4958.5,149,658.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,21
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.01145062955550443,22293.493898283545,752,4955.0,156,655.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,22
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.011821432573836535,23140.48566993743,758,4951.0,162,651.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,23
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.01220424321827668,23907.959425821507,764,4947.5,168,647.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,24
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.012599450328930324,24700.88709716666,770,4944.0,174,644.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,25
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.013076729318193632,25520.112884582137,777,4940.5,181,640.5,52,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,26
number_concentration,ice_crystal_number_concentration,1 kg-1,190,blue,0.013500189939078635,26366.508987303554,783,4937.0,187,637.0,51,sources/original/bergner-spichtinger-2026.pdf,12,600,episodes/002-figure1-python-continuation/outputs/figure1_digitized/figure1_source.png,color-threshold median-by-column with grid-pixel suppression,27
