backend,branch_id,T_K,source_point_count,log_w,w_m_s,table_ii_reference_log_w,table_ii_reference_w_m_s,delta_to_table_ii_log_w,delta_to_table_ii_w_m_s,relative_delta_to_table_ii_w
auto,lower_hopf,230.0,1,-3.0255633755,0.04853047268765705,-3.026342999999997,0.048492651887080344,0.0007796244999971336,3.782080057670306e-05,0.0007799284861709011
loca,lower_hopf,230.0,1,-3.025552509966718,0.048530999999987987,-3.026342999999997,0.048492651887080344,0.0007904900332791343,3.834811290764212e-05,0.0007908025528679947
python,lower_hopf,230.0,1,-3.025563322768334,0.0485304752467498,-3.026342999999997,0.048492651887080344,0.0007796772316632783,3.782335966945327e-05,0.0007799812589653477
auto,upper_hopf,230.0,1,-0.26306738167,0.7686900999434367,-0.26385900000000356,0.7680818315601948,0.000791618330003574,0.0006082683832419056,0.0007919317424893878
loca,upper_hopf,230.0,1,-0.2630805209178614,0.7686800000000379,-0.26385900000000356,0.7680818315601948,0.0007784790821421805,0.0005981684398430609,0.0007787821756283558
python,upper_hopf,230.0,1,-0.2630673891714041,0.7686900941771816,-0.26385900000000356,0.7680818315601948,0.000791610828599465,0.0006082626169867655,0.0007919242351445932
