backend,branch_id,canonical_index,T_K,log_w,w_m_s,table_ii_reference_log_w,table_ii_reference_w_m_s,delta_to_table_ii_log_w,delta_to_table_ii_w_m_s,relative_delta_to_table_ii_w,interpolation_method,raw_T_min_K,raw_T_max_K
loca,lower_hopf,29,219.0,-3.720792608628256,0.024214767403902843,-3.7192821700000067,0.024251369959962226,-0.0015104386282493998,-3.660255605938273e-05,-0.0015092984899332154,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,30,220.0,-3.653898781927092,0.025889992318220638,-3.6525880000000015,0.02592395070340052,-0.001310781927090332,-3.3958385179881645e-05,-0.001309923227690262,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,31,221.0,-3.587719872701156,0.027661329925998436,-3.586633769999999,0.02769138929197307,-0.0010861027011572766,-3.005936597463496e-05,-0.00108551310509178,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,32,222.0,-3.52226145227346,0.029532573089133766,-3.5214194799999987,0.029557449167853467,-0.0008419722734611668,-2.487607871970096e-05,-0.0008416179142669746,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,33,223.0,-3.457530205274623,0.031507483016769054,-3.456945130000001,0.03152592265981132,-0.0005850752746217047,-1.8439643042267306e-05,-0.0005849041514579946,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,34,224.0,-3.3935339887126648,0.03358976106326447,-3.393210720000006,0.033600621337380746,-0.000323268712658642,-1.0860274116272772e-05,-0.00032321646695832675,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,35,225.0,-3.330281691891141,0.03578302386016285,-3.3302162499999994,0.035785365645539614,-6.544189114165988e-05,-2.3417853767665475e-06,-6.543974986765111e-05,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,36,226.0,-3.267783664141401,0.038090755497892384,-3.2679617200000024,0.03808397381949414,0.00017805585860131146,6.781678398244673e-06,0.0001780717114865077,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,37,227.0,-3.2060532467396534,0.04051620559563861,-3.206447130000001,0.04050025008299265,0.00039388326034739407,1.595551264595846e-05,0.00039396084254449305,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,38,228.0,-3.145090529544788,0.04306302539427582,-3.145672480000009,0.04303797213762855,0.0005819504552206922,2.5053256647269984e-05,0.0005821198212395713,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,39,229.0,-3.0849342884995545,0.04573303898809459,-3.085637769999998,0.04570087795487968,0.0007034815004436368,3.216103321490582e-05,0.0007037290015885099,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,40,230.0,-3.025552509966718,0.048530999999987987,-3.026342999999997,0.048492651887080344,0.0007904900332791343,3.834811290764212e-05,0.0007908025528679947,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,41,231.0,-2.967031235453558,0.05145584408711945,-2.9677881699999986,0.05141691011820563,0.0007569345464406574,3.8933968913822115e-05,0.0007572210936891057,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,42,232.0,-2.909356461962348,0.054510798356231925,-2.9099732799999956,0.054477185480139086,0.0006168180376473487,3.361287609283947e-05,0.000617008309012106,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,43,233.0,-2.852523060015648,0.0576985601405711,-2.852898330000002,0.057676911665075485,0.0003752699843539986,2.1648475495614217e-05,0.00037534040694350834,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,44,234.0,-2.796572830980204,0.06101882651817606,-2.796563319999997,0.06101940686978718,-9.510980206961506e-06,-5.803516111152485e-07,-9.510934977681676e-06,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,45,235.0,-2.741521310543069,0.0644721900261397,-2.7409682500000017,0.06450785691263297,-0.000553060543067474,-3.566688649327132e-05,-0.0005529076332760088,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,46,236.0,-2.687390703942835,0.06805829212151175,-2.6861131200000017,0.0681452978694417,-0.0012775839428331714,-8.700574792995519e-05,-0.0012767681799065265,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,47,237.0,-2.6342025207942354,0.07177618660708363,-2.6319979300000043,0.07193459827962047,-0.002204590794231187,-0.00015841167253684285,-0.0022021624687618767,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,48,238.0,-2.5819630855445226,0.0756253990807278,-2.5786226800000023,0.07587844097911052,-0.0033404055445203085,-0.00025304189838272484,-0.0033348325969478967,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,49,239.0,-2.530726007802459,0.07960120820418475,-2.525987370000003,0.07997930462198864,-0.004738637802456314,-0.000378096417803897,-0.004727428171461587,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,lower_hopf,50,240.0,-2.480498270823508,0.08370150918011551,-2.474092000000006,0.08423944495764461,-0.0064062708235019805,-0.0005379357775290999,-0.006385794419699379,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,0,190.0,-3.1479325431882166,0.04294081343486524,-3.141971000000005,0.04319757152548583,-0.0059615431882114045,-0.0002567580906205902,-0.005943808449257553,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,1,191.0,-3.0558867045692493,0.04708095535803286,-3.050833709999999,0.04731945723665355,-0.005052994569250124,-0.00023850187862069216,-0.00504024966786705,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,2,192.0,-2.9650118973028228,0.051559855818246965,-2.960680239999995,0.05178367985878251,-0.004331657302827807,-0.0002238240405355446,-0.004322289206675297,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,3,193.0,-2.875285231467421,0.05640005014022592,-2.871510590000007,0.05661334240591734,-0.0037746414674142414,-0.00021329226569141713,-0.0037675264633222467,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,4,194.0,-2.786685689782608,0.061625120590178065,-2.783324759999992,0.06183258673761164,-0.00336092978261604,-0.00020746614743357567,-0.0033552881802271063,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,5,195.0,-2.6991939207688724,0.06725970754750656,-2.6961227500000007,0.06746659112002755,-0.003071170768871756,-0.00020688357252099387,-0.003066459548147827,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,6,196.0,-2.612792065698156,0.07332951684329447,-2.609904559999997,0.07354156223483022,-0.0028875056981592095,-0.0002120453915357423,-0.0028833408632066688,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,7,197.0,-2.5274636142239277,0.07986132274196782,-2.524670190000002,0.08008472117349621,-0.002793424223925811,-0.000223398431528396,-0.0027895262448928773,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,8,198.0,-2.4431932844342827,0.08688296599153722,-2.4404196400000018,0.08712428295561428,-0.002773644434280964,-0.0002413169640770596,-0.002769801436414682,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,9,199.0,-2.359966923807719,0.09442334630941003,-2.3571529099999964,0.09468942911445459,-0.002814013807722837,-0.0002660828050445596,-0.0028100581821328286,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,10,200.0,-2.2777714280707686,0.10251240861515358,-2.27487,0.1028102729020545,-0.0029014280707686524,-0.0002978642869009146,-0.0028972229962338936,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,11,201.0,-2.196594675549173,0.11118112224631538,-2.1935709099999983,0.11151781667945866,-0.0030237655491749393,-0.0003366944331432836,-0.003019198574440007,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
loca,upper_hopf,12,202.0,-2.1164254749200397,0.12046145232830302,-2.1132556399999984,0.12084390107587739,-0.0031698349200413034,-0.000382448747574371,-0.003164816297466539,numpy.interp over backend branch T_K/log_w after averaging duplicate T rows,190.0,240.0
