comparison,reference,variable,T_K,sample_count,median_signed_diff,median_abs_diff,max_abs_diff,median_rel_diff,max_rel_diff,max_auto_residual_norm,max_reference_residual_norm,all_reference_converged
auto_vs_digitized_figure1,digitized_paper_mass_concentration,q,190.0,174,-1.3254571356557885e-08,1.3254571356557885e-08,2.5717963462256527e-07,0.02135332234886546,0.06236348185447331,,,
auto_vs_digitized_figure1,digitized_paper_mass_concentration,q,210.0,164,-3.642388677944143e-08,3.905085341801742e-08,9.697359181966822e-07,0.01772451600669523,0.04291260087185094,,,
auto_vs_digitized_figure1,digitized_paper_mass_concentration,q,230.0,174,6.859150784641045e-08,8.551153199117791e-08,2.67877082359044e-06,0.01256772574670471,0.06415221349236887,,,
auto_vs_digitized_figure1,digitized_paper_number_concentration,n,190.0,174,413.0793604916071,826.2950392400671,45506.57835383853,0.0031345429620332527,0.03465189292540695,,,
auto_vs_digitized_figure1,digitized_paper_number_concentration,n,210.0,165,-818.9598298840283,1052.2975463041803,32089.88767283631,0.016380379600773574,0.03559242311726197,,,
auto_vs_digitized_figure1,digitized_paper_number_concentration,n,230.0,174,198.37478279766492,238.87565274475128,8712.650827865931,0.008768701386202466,0.05666495658665311,,,
auto_vs_digitized_figure1,digitized_paper_saturation_ratio,s,190.0,174,-0.0004260981865492619,0.0004329234742658228,0.0006239461316732697,0.0002728214713076921,0.00039369798078010544,,,
auto_vs_digitized_figure1,digitized_paper_saturation_ratio,s,210.0,174,-0.00031005304546249945,0.00031005304546249945,0.00046961109582133176,0.00020353983326431392,0.0003100198868578617,,,
auto_vs_digitized_figure1,digitized_paper_saturation_ratio,s,230.0,174,-0.0002789608416261524,0.0002800460984769826,0.0008228361661761774,0.000193621531445586,0.0005657305491356338,,,
auto_vs_eq92_94,analytic_eq92_94_at_auto_log_w,n,190.0,209,89.28749991464429,89.28749991464429,1856.576370663941,0.00046421260814451677,0.00048775667155694205,3.9427005902512925e-09,,True
auto_vs_eq92_94,analytic_eq92_94_at_auto_log_w,n,210.0,209,18.30759366400889,18.30759366400889,402.8885999706108,0.0002618987034792215,0.0002912535882064234,1.744449783935203e-09,,True
auto_vs_eq92_94,analytic_eq92_94_at_auto_log_w,n,230.0,209,-2.027852566418005,2.027852566418005,12.171188209787942,6.072444150697257e-05,0.00010585084751307281,9.066013054726163e-10,,True
auto_vs_eq92_94,analytic_eq92_94_at_auto_log_w,q,190.0,209,3.964631960589156e-11,3.964631960589156e-11,8.147394881724611e-10,6.53956186933568e-05,6.702553490470498e-05,3.9427005902512925e-09,,True
auto_vs_eq92_94,analytic_eq92_94_at_auto_log_w,q,210.0,209,1.019393385799804e-10,1.019393385799804e-10,2.228024718130381e-09,4.511057557026409e-05,4.919529404023433e-05,1.744449783935203e-09,,True
auto_vs_eq92_94,analytic_eq92_94_at_auto_log_w,q,230.0,209,-8.471757208070192e-11,8.471757208070192e-11,5.125903947448499e-10,1.2327751468954599e-05,2.191384257033555e-05,9.066013054726163e-10,,True
auto_vs_eq92_94,analytic_eq92_94_at_auto_log_w,s,190.0,209,-0.00031659471466460865,0.00031659471466460865,0.00033927339889117114,0.00020053071339381262,0.00021351404547158252,3.9427005902512925e-09,,True
auto_vs_eq92_94,analytic_eq92_94_at_auto_log_w,s,210.0,209,-0.00015116327465203305,0.00015116327465203305,0.00017157150968727386,9.943098484044406e-05,0.00011219770593978316,1.744449783935203e-09,,True
auto_vs_eq92_94,analytic_eq92_94_at_auto_log_w,s,230.0,209,2.8899176510943647e-05,2.8899176510943647e-05,4.942274671160263e-05,1.9937755314483205e-05,3.428316791915377e-05,9.066013054726163e-10,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,190.0,209,-0.00031016103457659483,0.0003121524350717664,0.03813323955910164,2.1590818791461317e-09,3.884662224511933e-06,3.9427005902512925e-09,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,210.0,209,-9.799292456591502e-05,0.00011349008127581328,0.0036091527435928583,2.104789370855316e-09,3.785975934892677e-07,1.744449783935203e-09,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,n,230.0,209,-5.7630946685094386e-05,6.004574242979288e-05,0.002021768130362034,2.261751769805669e-09,5.9492500703704234e-08,9.066013054726163e-10,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,q,190.0,209,-2.4098865560905135e-16,2.5961716005043955e-16,2.358756050283545e-13,6.933956051748363e-10,7.725456549456238e-06,3.9427005902512925e-09,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,q,210.0,209,-1.1246333843985571e-15,1.2618038057010499e-15,8.571321789208818e-14,7.239579728574329e-10,7.529612496833198e-07,1.744449783935203e-09,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,q,230.0,209,-3.872808276600848e-15,3.945432034465485e-15,1.3644906602175433e-13,7.809984378825916e-10,1.1803197904744782e-07,9.066013054726163e-10,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,s,190.0,209,-6.569189636707051e-12,2.901190399029474e-11,1.314387909623349e-08,1.837521651473089e-11,8.380920422893901e-09,3.9427005902512925e-09,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,s,210.0,209,-3.6415315207705135e-13,2.3208324151369197e-11,1.0828451468825051e-09,1.519708723502119e-11,7.165107915249189e-10,1.744449783935203e-09,,True
auto_vs_python_continuation,python_continuation_interpolated_on_auto_log_w,s,230.0,209,2.2299939672620894e-12,2.4925395081254464e-11,1.7534285134956917e-10,1.7124451114145915e-11,1.2163039926913063e-10,9.066013054726163e-10,,True
