backend_step_index,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode
0,-5.29831736654803631e+00,9.19180168888240345e+00,-1.73044821895615151e+01,1.56830973604371593e+00,4.59567348858409075e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
1,-5.23840272107695615e+00,9.25140029403527642e+00,-1.72446150983666868e+01,1.56851321909613262e+00,2.09190085690079498e-11,true,2,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
2,-5.17848807560587687e+00,9.31099889918814938e+00,-1.71847480071718586e+01,1.56871670214854930e+00,5.40099252858756018e-11,true,0,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
3,-5.11857343013479671e+00,9.37059286577037653e+00,-1.71248858645943187e+01,1.56892016870766327e+00,1.58150088807811523e-16,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
4,-5.05865878466371743e+00,9.43018683235260369e+00,-1.70650237220167789e+01,1.56912363526677723e+00,5.00926167172824267e-11,true,0,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
5,-4.99874413919263727e+00,9.48978769715806081e+00,-1.70051547458460668e+01,1.56932712516078854e+00,3.74787018801653198e-16,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
6,-4.93882949372155711e+00,9.54938856196351793e+00,-1.69452857696753547e+01,1.56953061505479985e+00,6.36790590448358385e-11,true,0,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
7,-4.87891484825047783e+00,9.60898309827878983e+00,-1.68854234391516052e+01,1.56973408268688441e+00,3.70056028465201164e-16,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
8,-4.81900020277939767e+00,9.66857763459406172e+00,-1.68255611086278556e+01,1.56993755031896898e+00,6.36879371119796982e-11,true,0,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
9,-4.75908555730831750e+00,9.72817906828394108e+00,-1.67656919448175650e+01,1.57014104128429177e+00,4.76439031534057949e-16,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
10,-4.69917091183723823e+00,9.78778050197382044e+00,-1.67058227810072744e+01,1.57034453224961457e+00,7.67819350463254402e-11,true,0,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
11,-4.63925626636615807e+00,9.84737560629358732e+00,-1.66459602631831096e+01,1.57054800095124247e+00,4.70616146089662095e-16,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
