backend_step_index,log_w,log_n,log_q,s,residual_norm,converged,newton_iterations,continuation_status,step_size,loca_continuation_mode
0,-5.29831736654803631e+00,7.43537491665972894e+00,-1.48820005890159948e+01,1.44160384577521739e+00,2.04460815464535473e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
1,-5.23840272107695615e+00,7.49495532820732624e+00,-1.48221531816606404e+01,1.44176108226336019e+00,1.28060028891988390e-11,true,2,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
2,-5.17848807560587687e+00,7.55453251587252606e+00,-1.47623091080159803e+01,1.44191831007616100e+00,4.69837222879492733e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
3,-5.11857343013479671e+00,7.61411153434969989e+00,-1.47024632905377270e+01,1.44207554255362758e+00,1.41652344864205222e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
4,-5.05865878466371743e+00,7.67369069860172903e+00,-1.46426174217904617e+01,1.44223277524888127e+00,1.71620820707032749e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
5,-4.99874413919263727e+00,7.73327000851929114e+00,-1.45827715018167385e+01,1.44239000816175156e+00,7.24090460167577070e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
6,-4.93882949372155711e+00,7.79284946399201583e+00,-1.45229255306602330e+01,1.44254724129206524e+00,1.21998632027272151e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
7,-4.87891484825047783e+00,7.85242906491127624e+00,-1.44630795083629415e+01,1.44270447463965312e+00,1.60345585908406200e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
8,-4.81900020277939767e+00,7.91200881116856358e+00,-1.44032334349668165e+01,1.44286170820434667e+00,7.65889779927941991e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
9,-4.75908555730831750e+00,7.97158870265548369e+00,-1.43433873105137586e+01,1.44301894198597691e+00,2.51835116267153110e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
10,-4.69917091183723823e+00,8.03116873926375874e+00,-1.42835411350456258e+01,1.44317617598437598e+00,5.46844161187263364e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
11,-4.63925626636615807e+00,8.09074892088523079e+00,-1.42236949086042319e+01,1.44333341019937511e+00,7.48282561723638532e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
12,-4.57934162089507879e+00,8.15032924741185205e+00,-1.41638486312313407e+01,1.44349064463080690e+00,1.82398479308048826e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
13,-4.51942697542399863e+00,8.20990971873569642e+00,-1.41040023029686719e+01,1.44364787927850302e+00,9.18107137244071636e-19,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
14,-4.45951232995291846e+00,8.26949033474894790e+00,-1.40441559238579003e+01,1.44380511414229606e+00,4.46029230791363887e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
15,-4.39959768448183919e+00,8.32907109534391310e+00,-1.39843094939406516e+01,1.44396234922201838e+00,2.76570426948869574e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
16,-4.33968303901075902e+00,8.38865200041300696e+00,-1.39244630132585083e+01,1.44411958451750277e+00,1.86074294831665329e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
17,-4.27976839353967975e+00,8.44823304984876344e+00,-1.38646164818530089e+01,1.44427682002858204e+00,3.64749455462362147e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
18,-4.21985374806859959e+00,8.50781424354383198e+00,-1.38047698997656401e+01,1.44443405575508943e+00,1.47038895872612131e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
19,-4.15993910259751942e+00,8.56739558139097745e+00,-1.37449232670378478e+01,1.44459129169685796e+00,7.57001256867677640e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
20,-4.10002445712644015e+00,8.62697706328307312e+00,-1.36850765837110355e+01,1.44474852785372132e+00,2.65939028390044855e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
21,-4.04010981165535998e+00,8.68655868911311657e+00,-1.36252298498265514e+01,1.44490576422551298e+00,2.16922043869050035e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
22,-3.98019516618428026e+00,8.74614045877421020e+00,-1.35653830654257082e+01,1.44506300081206662e+00,1.21129843846540350e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
23,-3.92028052071320054e+00,8.80572237215958076e+00,-1.35055362305497688e+01,1.44522023761321639e+00,4.90012657737943167e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
24,-3.86036587524212083e+00,8.86530442916256156e+00,-1.34456893452399484e+01,1.44537747462879618e+00,2.49054184186649318e-17,true,1,converged,5.99146454710798165e-02,natural_parameter_predictor_corrector
