backend,start_index,end_index,start_log_w,end_log_w,start_w_m_s,end_w_m_s,point_count
python,66,78,-6.916643364233665,-6.792232619632134,0.0009911512970141,0.0011224599484729,13
auto,34,40,-6.9180686941,-6.7965483446,0.0009897395857845,0.0011176261582052,7
loca,66,78,-6.916643364233665,-6.792232619632134,0.0009911512970141,0.0011224599484729,13
