backend,log_w,w_m_s,left_index,right_index,branches,imag_at_crossing_abs_max
python,-3.025560693602074,0.048530602841605625,441,442,"1,3",0.006557718616128642
python,-0.2630802015171406,0.7686802455170232,707,708,"1,3",0.023369136702987507
auto,-3.025555911318135,0.0485308349292831,226,227,"1,3",0.006557759993145094
auto,-0.2631329561825709,0.7686396951174689,362,363,"1,3",0.023368767851186585
loca,-3.02556062905273,0.0485306059742243,441,442,"1,3",0.006557718690138437
loca,-0.2630801836816344,0.7686802592268246,707,708,"1,3",0.023369136831893532
