T_K,source,sample_count,max_abs_diff_n,median_abs_diff_n,max_rel_diff_n,median_rel_diff_n,max_abs_diff_q,median_abs_diff_q,max_rel_diff_q,median_rel_diff_q,max_abs_diff_s,median_abs_diff_s,max_rel_diff_s,median_rel_diff_s,max_check_residual_norm,all_checks_converged
190.0,analytic_eq92_94,17,1856.5752202342264,89.72387474155403,0.00048775636973701986,0.00046425178890371427,8.147426960386983e-10,3.983927342921412e-11,6.702579882354197e-05,6.539842226123523e-05,0.0003392733823961436,0.00031663162537332035,0.0002135140350910659,0.00020055201012303061,,True
190.0,root_solve,17,1.3592652976512909e-06,4.118192009627819e-08,3.571039297875904e-13,2.1308464586775636e-13,6.2680438096818225e-19,1.8422966602781032e-20,5.156482475357186e-14,3.024234242961381e-14,2.3803181647963356e-13,1.389999226830696e-13,1.4983193502349883e-13,8.805913092422292e-14,8.743088760718078e-15,True
210.0,analytic_eq92_94,17,402.8887111193035,18.39715224149404,0.0002912536686845618,0.00026194687896472353,2.2280034909426217e-09,1.0243721237705413e-10,4.9194825387704524e-05,4.511761119148792e-05,0.0001715715113959071,0.0001511958083046938,0.00011219770705724236,9.94514680334408e-05,,True
210.0,root_solve,17,7.450580596923828e-09,4.001776687800884e-11,8.796613106992129e-15,1.7619008251924542e-15,8.470329472543003e-21,0.0,3.6041831317506215e-15,0.0,4.218847493575595e-15,1.3322676295501878e-15,2.791580832816017e-15,8.757687235377498e-16,5.326486532539747e-16,True
230.0,analytic_eq92_94,17,12.171228146064095,2.0254181646669167,0.00010591033373424516,6.0748234126300624e-05,5.125965893881725e-10,8.461593808813887e-11,2.179581318108493e-05,1.2332678284325692e-05,4.942292205467602e-05,2.890997548710139e-05,3.428328954554019e-05,1.9945263452974347e-05,,True
230.0,root_solve,17,2.08092387765646e-09,1.6298145055770874e-09,8.676966009046544e-13,5.696079061797117e-14,2.439454888092385e-19,8.089164646278568e-20,1.7932862013998096e-13,1.2469018297007337e-14,4.0323300254385686e-13,2.731148640577885e-14,2.7971138099109324e-13,1.884245083150029e-14,2.838302158649496e-13,True
