T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,q,s,converged,iterations,message,residual_norm
230.0,30000.0,1.0,10000000000.0,-5.298317366548036,0.005000000000000002,7.435374916659731,-14.882000589015995,1694.8930435272612,3.4421458205033073e-07,1.4416038457752167,True,7,The solution converged.,4.496340207363676e-16
230.0,30000.0,1.0,10000000000.0,-5.273352930935086,0.005126393282345247,7.460199368330913,-14.857064880750258,1737.4944241837368,3.529057260306722e-07,1.441669359099284,True,10,The solution converged.,5.086275575607787e-17
230.0,30000.0,1.0,10000000000.0,-5.2483884953221365,0.005255981617054892,7.485023845358782,-14.832129163565105,1781.1666418406596,3.618163176999612e-07,1.4417348724612356,True,7,The solution converged.,1.7153934569756265e-16
230.0,30000.0,1.0,10000000000.0,-5.2234240597091866,0.00538884577076006,7.509848347735442,-14.807193437463585,1825.9366143962166,3.7095189809935874e-07,1.4418003858610606,True,7,The solution converged.,1.3522687311064254e-16
230.0,30000.0,1.0,10000000000.0,-5.198459624096237,0.00552506855176379,7.534672875452995,-14.782257702448753,1871.831936418357,3.803181481829861e-07,1.4418658992987465,True,7,The solution converged.,1.0297156634705575e-16
230.0,30000.0,1.0,10000000000.0,-5.173495188483287,0.005664734861651773,7.55949742850355,-14.75732195852366,1918.8808961558143,3.8992089235082103e-07,1.4419314127742808,True,7,The solution converged.,1.8590066744007835e-16
230.0,30000.0,1.0,10000000000.0,-5.148530752870337,0.005807931748207713,7.584322006879217,-14.732386205691357,1967.1124929767625,3.997661020708007e-07,1.4419969262876515,True,7,The solution converged.,1.874039270363923e-16
230.0,30000.0,1.0,10000000000.0,-5.123566317257387,0.005954748459666339,7.609146610572114,-14.707450443954892,2016.5564552459143,4.0985989959238906e-07,1.4420624398388464,True,7,The solution converged.,7.334072228667149e-17
230.0,30000.0,1.0,10000000000.0,-5.098601881644437,0.006105276500337843,7.633971239574356,-14.682514673317312,2067.2432586510236,4.202085617539106e-07,1.4421279534278528,True,7,The solution converged.,1.2395616796949015e-16
230.0,30000.0,1.0,10000000000.0,-5.073637446031487,0.00625960968763844,7.658795893878066,-14.657578893781665,2119.204144990155,4.308185238860277e-07,1.4421934670546588,True,7,The solution converged.,1.5423226683097856e-16
230.0,30000.0,1.0,10000000000.0,-5.048673010418537,0.006417844210562584,7.6836205734753715,-14.632643105350992,2172.471141431253,4.416963838137839e-07,1.442258980719252,True,7,The solution converged.,1.4063941486976667e-16
230.0,30000.0,1.0,10000000000.0,-5.023708574805587,0.006580078689633269,7.7084452783584005,-14.607707308028338,2227.077080255909,4.528489059597002e-07,1.4423244944216205,True,7,The solution converged.,6.274775593222876e-17
230.0,30000.0,1.0,10000000000.0,-4.998744139192637,0.006746414238367819,7.733270008519285,-14.582771501816746,2283.0556190994976,4.642830255504834e-07,1.4423900081617516,True,7,The solution converged.,6.038730774520831e-17
230.0,30000.0,1.0,10000000000.0,-4.973779703579687,0.006916954526297419,7.758094763950161,-14.557835686719253,2340.4412617001626,4.7600585292995517e-07,1.4424555219396331,True,7,The solution converged.,1.180291661971423e-16
230.0,30000.0,1.0,10000000000.0,-4.948815267966737,0.007091805843579725,7.782919544643169,-14.532899862738901,2399.2693791694423,4.880246779808863e-07,1.4425210357552531,True,7,The solution converged.,7.637616653911842e-17
230.0,30000.0,1.0,10000000000.0,-4.9238508323537875,0.007271077167244771,7.807744350590452,-14.507964029878726,2459.576231797636,5.00346974658492e-07,1.4425865496085992,True,7,The solution converged.,8.451599174574478e-17
230.0,30000.0,1.0,10000000000.0,-4.898886396740838,0.007454880229115496,7.832569181784157,-14.483028188141764,2521.398991407393,5.129804056383981e-07,1.4426520634996591,True,7,The solution converged.,1.4168959527970805e-16
230.0,30000.0,1.0,10000000000.0,-4.873921961127888,0.007643329585445212,7.857394038216435,-14.45809233753105,2584.7757642692673,5.259328270819737e-07,1.4427175774284209,True,7,The solution converged.,9.18002179175311e-17
230.0,30000.0,1.0,10000000000.0,-4.848957525514938,0.0078365426883154,7.8822189198794375,-14.43315647804962,2649.7456145933797,5.392122935219972e-07,1.442783091394872,True,7,The solution converged.,1.0190181559814904e-16
230.0,30000.0,1.0,10000000000.0,-4.823993089901988,0.008034639958838363,7.907043826765324,-14.408220609700502,2716.3485886116964,5.528270628716893e-07,1.4428486053990004,True,7,The solution converged.,1.8150974404250125e-16
230.0,30000.0,1.0,10000000000.0,-4.799028654289038,0.008237744862210331,7.931868758866254,-14.383284732486727,2784.625739265729,5.667856015602275e-07,1.4429141194407942,True,7,The solution converged.,3.515359944181383e-17
230.0,30000.0,1.0,10000000000.0,-4.774064218676088,0.008445983984661818,7.956693716174392,-14.358348846411326,2854.6191515149094,5.810965897979404e-07,1.4429796335202405,True,7,The solution converged.,1.4534468007334304e-16
230.0,30000.0,1.0,10000000000.0,-4.749099783063138,0.008659487112353174,7.981518698681906,-14.333412951477326,2926.3719682812384,5.957689269744551e-07,1.4430451476373278,True,7,The solution converged.,6.989317180760921e-17
230.0,30000.0,1.0,10000000000.0,-4.724135347450188,0.008878387312264506,8.006343706380969,-14.308477047687754,2999.9284170462,6.108117371931511e-07,1.4431106617920435,True,7,The solution converged.,1.4391382626514005e-16
230.0,30000.0,1.0,10000000000.0,-4.699170911837238,0.009102821015130404,8.031168739263753,-14.283541135045633,3075.3338371163286,6.262343749453691e-07,1.4431761759843758,True,7,The solution converged.,9.161140303419505e-17
230.0,30000.0,1.0,10000000000.0,-4.674206476224288,0.009332928100471125,8.055993797322436,-14.258605213553988,3152.63470757427,6.420464309278958e-07,1.4432416902143121,True,7,The solution converged.,9.829630228745876e-17
230.0,30000.0,1.0,10000000000.0,-4.649242040611338,0.009568851983773267,8.080818880549204,-14.233669283215843,3231.8786759325726,6.582577380073505e-07,1.4433072044818407,True,7,The solution converged.,4.216435222093392e-17
230.0,30000.0,1.0,10000000000.0,-4.6242776049983885,0.00981073970587425,8.105643988936238,-14.208733344034213,3313.1145875077896,6.748783773351832e-07,1.443372718786949,True,7,The solution converged.,1.3477674245120438e-16
230.0,30000.0,1.0,10000000000.0,-4.5993131693854385,0.010058742024606302,8.13046912247573,-14.183797396012125,3396.3925155331603,6.919186846170683e-07,1.4434382331296252,True,7,The solution converged.,9.240654342185564e-17
230.0,30000.0,1.0,10000000000.0,-4.574348733772489,0.010313013508757112,8.15529428115987,-14.158861439152592,3481.7637920282705,7.093892565406317e-07,1.4435037475098569,True,7,The solution converged.,1.3392963354433112e-16
