backend,schema_version,branch_id,T_K,temperature_K,p_Pa,pressure_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,n_kg_dry_air_inv,q,q_kg_kg,s,residual_norm,converged,stability,backend_step_index,source_file,auto_branch,auto_point,auto_type_code,auto_label,auto_l2_norm
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.8528529859,0.007806075127832435,9.6349071703,-16.859382863,15289.279420332776,15289.279420332776,4.765001638427423e-08,4.765001638427423e-08,1.5698225927,1.2590386219497189e-12,True,,16,raw/bs2026_T190K/b.bs2026_T190K,1,17,0,0,19.481646996
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.8239267642,0.008035172879646828,9.6636804891,-16.830480256,15735.592899699543,15735.592899699543,4.9047321694688786e-08,4.9047321694688786e-08,1.5699208305,1.2454178581612918e-13,True,,17,raw/bs2026_T190K/b.bs2026_T190K,1,18,0,0,19.470912605
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.7950005572,0.008270994219171575,9.6924538264,-16.801577653,16194.935135827956,16194.935135827956,5.0485601860016634e-08,5.0485601860016634e-08,1.5700190683,1.4352579636402177e-12,True,,18,raw/bs2026_T190K/b.bs2026_T190K,1,19,0,0,19.460257775
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.7660743649,0.008513736467479594,9.7212271823,-16.772675054,16667.686473829366,16667.686473829366,5.196605842901558e-08,5.196605842901558e-08,1.5701173062,2.0089033574266184e-13,True,,19,raw/bs2026_T190K/b.bs2026_T190K,1,20,4,2,19.449682639
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.7371481873,0.008763602736436366,9.7500005566,-16.743772458,17154.238357337395,17154.238357337395,5.348992823803818e-08,5.348992823803818e-08,1.5702155441,1.290970229093873e-12,True,,20,raw/bs2026_T190K/b.bs2026_T190K,1,21,0,0,19.439187325
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.7082220243,0.009020802099541652,9.7787739495,-16.714869867,17654.993664283928,17654.993664283928,5.505848423183558e-08,5.505848423183558e-08,1.5703137819,1.5716175025975932e-12,True,,21,raw/bs2026_T190K/b.bs2026_T190K,1,22,0,0,19.428771963
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.679295876,0.009285549764202894,9.8075473608,-16.685967279,18170.367026982596,18170.367026982596,5.6673036900005566e-08,5.6673036900005566e-08,1.5704120198,1.3236280611337969e-12,True,,22,raw/bs2026_T190K/b.bs2026_T190K,1,23,0,0,19.418436682
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.6503697423,0.009558067255353764,9.8363207906,-16.657064694,18700.785187545946,18700.785187545946,5.833493505396513e-08,5.833493505396513e-08,1.5705102577,1.5881759187365655e-12,True,,23,raw/bs2026_T190K/b.bs2026_T190K,1,24,0,0,19.40818161
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.6214436233,0.009838582597135579,9.865094239,-16.628162114,19246.687346281546,19246.687346281546,6.004556693758495e-08,6.004556693758495e-08,1.5706084957,1.4149228619289205e-12,True,,24,raw/bs2026_T190K/b.bs2026_T190K,1,25,0,0,19.398006874
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-4.5925175189,0.010127330507450998,9.8938677057,-16.599259537,19808.52551748315,19808.52551748315,6.180636174025383e-08,6.180636174025383e-08,1.5707067336,2.9222605140702433e-13,True,,25,raw/bs2026_T190K/b.bs2026_T190K,1,26,0,0,19.3879126
