backend,schema_version,branch_id,T_K,temperature_K,p_Pa,pressure_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,n_kg_dry_air_inv,q,q_kg_kg,s,residual_norm,converged,stability,backend_step_index,source_file,auto_branch,auto_point,auto_type_code,auto_label,auto_l2_norm
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.2983173665,0.005000000000240183,7.4353749762,-14.882000707,1694.893144441653,1694.893144441653,3.442145414385182e-07,3.442145414385182e-07,1.4416038456,9.066013054726165e-10,True,,0,raw/bs2026_T230K/b.bs2026_T230K,1,-1,9,1,16.698412132
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.2751713264,0.005117079942283195,7.4583911683,-14.858881184,1734.355525445857,1734.355525445857,3.5226532397185547e-07,3.5226532397185547e-07,1.4416645871,3.105614971142914e-11,True,,1,raw/bs2026_T230K/b.bs2026_T230K,1,-2,0,0,16.688089934
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.2520252764,0.005236901478737154,7.4814074517,-14.835761762,1774.7368753827304,1774.7368753827304,3.6050436864528716e-07,3.6050436864528716e-07,1.4417253286,2.0517481682661856e-11,True,,2,raw/bs2026_T230K/b.bs2026_T230K,1,-3,0,0,16.677825291
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.2230927276,0.005390631564224386,7.5101778228,-14.806862486,1826.5383140972046,1826.5383140972046,3.7107468549016706e-07,3.7107468549016706e-07,1.4418012554,2.3489634186088754e-11,True,,3,raw/bs2026_T230K/b.bs2026_T230K,1,-4,0,0,16.665075412
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.1941601942,0.005548874335652468,7.5389482127,-14.777963215,1879.8517807700005,1879.8517807700005,3.819549317545956e-07,3.819549317545956e-07,1.4418771822,2.135172862557068e-11,True,,4,raw/bs2026_T230K/b.bs2026_T230K,1,-5,0,0,16.652415643
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.1652276761,0.0057117622591974825,7.5677186213,-14.749063946,1934.7214106995932,1934.7214106995932,3.9315419591925915e-07,3.9315419591925915e-07,1.441953109,9.83980848568883e-12,True,,5,raw/bs2026_T230K/b.bs2026_T230K,1,-6,0,0,16.639846189
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.1362951734,0.0058794316882549245,7.5964890487,-14.720164681,1991.1926278875917,1991.1926278875917,4.0468183102279976e-07,4.0468183102279976e-07,1.4420290358,8.136848917624218e-12,True,,6,raw/bs2026_T230K/b.bs2026_T230K,1,-7,0,0,16.627367255
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.1073626859,0.006052022980431908,7.6252594949,-14.691265419,2049.3121820879396,2049.3121820879396,4.1654746551985437e-07,4.1654746551985437e-07,1.4421049626,3.401768549730379e-11,True,,7,raw/bs2026_T230K/b.bs2026_T230K,1,-8,0,0,16.614979046
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.0784302138,0.006229680610931918,7.6540299599,-14.662366161,2109.1281876949115,2109.1281876949115,4.2876100935500537e-07,4.2876100935500537e-07,1.4421808895,3.915274927851464e-12,True,,8,raw/bs2026_T230K/b.bs2026_T230K,1,-9,0,0,16.602681765
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.049497757,0.00641255329762065,7.6828004436,-14.633466906,2170.690163361269,2170.690163361269,4.413326638830605e-07,4.413326638830605e-07,1.4422568164,3.356211892173044e-11,True,,9,raw/bs2026_T230K/b.bs2026_T230K,1,-10,0,0,16.590475613
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.0205653155,0.006600794123139685,7.7115709461,-14.604567654,2234.0490736348734,2234.0490736348734,4.54272929151834e-07,4.54272929151834e-07,1.4423327432,1.470434119333401e-11,True,,10,raw/bs2026_T230K/b.bs2026_T230K,1,-11,0,0,16.578360792
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.9916328893,0.006794560663630451,7.7403414673,-14.575668405,2299.25737029722,2299.25737029722,4.6759261307650573e-07,4.6759261307650573e-07,1.4424086701,2.3220415276545972e-12,True,,11,raw/bs2026_T230K/b.bs2026_T230K,1,-12,0,0,16.566337503
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.9627004783,0.0069940151213307685,7.7691120072,-14.54676916,2366.3690364347117,2366.3690364347117,4.813028399851341e-07,4.813028399851341e-07,1.442484597,7.284062025195539e-12,True,,12,raw/bs2026_T230K/b.bs2026_T230K,1,-13,0,0,16.554405945
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.9337680827,0.007199324457566396,7.7978825658,-14.517869919,2435.4396309220133,2435.4396309220133,4.954150608304065e-07,4.954150608304065e-07,1.4425605239,8.144892761127506e-12,True,,13,raw/bs2026_T230K/b.bs2026_T230K,1,-14,0,0,16.542566317
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.9048357023,0.007410660537381237,7.8266531432,-14.48897068,2506.5263346716733,2506.5263346716733,5.099410633319852e-07,5.099410633319852e-07,1.4426364508,1.5416298792227757e-12,True,,14,raw/bs2026_T230K/b.bs2026_T230K,1,-15,0,0,16.530818816
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.8759033372,0.007628200268476281,7.8554237393,-14.460071445,2579.6879972385605,2579.6879972385605,5.248929788208722e-07,5.248929788208722e-07,1.4427123777,1.4901470453647213e-11,True,,15,raw/bs2026_T230K/b.bs2026_T230K,1,-16,0,0,16.519163639
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.8469709874,0.007852125752105497,7.8841943541,-14.431172214,2654.985186266943,2654.985186266943,5.402832953149183e-07,5.402832953149183e-07,1.4427883047,3.417080981831387e-11,True,,16,raw/bs2026_T230K/b.bs2026_T230K,1,-17,0,0,16.507600981
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.8180386529,0.008082624434801185,7.9129649876,-14.402272985,2732.480237399945,2732.480237399945,5.561248680984024e-07,5.561248680984024e-07,1.4428642316,3.727021971351955e-12,True,,17,raw/bs2026_T230K/b.bs2026_T230K,1,-18,0,0,16.496131038
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.7891063336,0.008319889266104746,7.9417356398,-14.37337376,2812.2373058894877,2812.2373058894877,5.724309271862588e-07,5.724309271862588e-07,1.4429401585,3.3257273771757643e-11,True,,18,raw/bs2026_T230K/b.bs2026_T230K,1,-19,0,0,16.484754002
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.7601740295,0.008564118858480059,7.9705063106,-14.344474538,2894.3224194233826,2894.3224194233826,5.892150921729832e-07,5.892150921729832e-07,1.4430160855,8.041603201736826e-12,True,,19,raw/bs2026_T230K/b.bs2026_T230K,1,-20,4,2,16.473470067
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.7312417407,0.008815517653439542,7.9992770002,-14.31557532,2978.8035339417193,2978.8035339417193,6.06491380824284e-07,6.06491380824284e-07,1.4430920125,1.1097416905516326e-11,True,,20,raw/bs2026_T230K/b.bs2026_T230K,1,-21,0,0,16.462279424
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.7023094672,0.009074296094354103,8.0280477084,-14.286676105,3065.7505878817324,3065.7505878817324,6.242742231094497e-07,6.242742231094497e-07,1.4431679395,2.2193898320583428e-11,True,,21,raw/bs2026_T230K/b.bs2026_T230K,1,-22,0,0,16.451182263
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.6733772089,0.009340670802726058,8.0568184353,-14.257776893,3155.2355621178494,3155.2355621178494,6.425784715028993e-07,6.425784715028993e-07,1.4432438665,2.5468098185735152e-11,True,,22,raw/bs2026_T230K/b.bs2026_T230K,1,-23,0,0,16.440178773
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.6444449658,0.009614864757720654,8.0855891808,-14.228877685,3247.332538066762,3247.332538066762,6.614194133000146e-07,6.614194133000146e-07,1.4433197935,2.222523485369538e-11,True,,23,raw/bs2026_T230K/b.bs2026_T230K,1,-24,0,0,16.429269144
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.6155127379,0.009897107483662217,8.114359945,-14.19997848,3342.117760267537,3342.117760267537,6.808127853311292e-07,6.808127853311292e-07,1.4433957205,1.1185633417338867e-11,True,,24,raw/bs2026_T230K/b.bs2026_T230K,1,-25,0,0,16.418453561
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.5865805253,0.010187635241133324,8.1431307279,-14.171079278,3439.6696985704225,3439.6696985704225,7.007747851960452e-07,7.007747851960452e-07,1.4434716475,7.782325422392476e-12,True,,25,raw/bs2026_T230K/b.bs2026_T230K,1,-26,0,0,16.407732212
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.5576483278,0.010486691228777038,8.1719015293,-14.14218008,3540.0691127041623,3540.0691127041623,7.213220846952396e-07,7.213220846952396e-07,1.4435475745,3.317832927575429e-11,True,,26,raw/bs2026_T230K/b.bs2026_T230K,1,-27,0,0,16.397105281
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.5287161456,0.010794525779755345,8.2006723495,-14.113280885,3643.3991215882834,3643.3991215882834,7.424718458764334e-07,7.424718458764334e-07,1.4436235016,4.538573805501408e-12,True,,27,raw/bs2026_T230K/b.bs2026_T230K,1,-28,0,0,16.386572952
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.4997839786,0.011111396578447782,8.2294431882,-14.084381693,3749.745268285444,3749.745268285444,7.642417332865613e-07,7.642417332865613e-07,1.4436994287,3.3137501151955276e-11,True,,28,raw/bs2026_T230K/b.bs2026_T230K,1,-29,0,0,16.376135408
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.4708518267,0.011437568873178058,8.2582140456,-14.055482504,3859.195594753459,3859.195594753459,7.866499294060152e-07,7.866499294060152e-07,1.4437753557,1.581723174075953e-11,True,,29,raw/bs2026_T230K/b.bs2026_T230K,1,-30,0,0,16.365792829
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.4419196901,0.011773315694709114,8.2869849216,-14.026583319,3971.8407118336027,3971.8407118336027,8.09715149024954e-07,8.09715149024954e-07,1.4438512828,1.421800689181967e-12,True,,30,raw/bs2026_T230K/b.bs2026_T230K,1,-31,0,0,16.355545397
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.4129875686,0.012118918092752326,8.3157558161,-13.997684137,4087.7738753310737,4087.7738753310737,8.334566572562309e-07,8.334566572562309e-07,1.4439272099,7.000598899838148e-12,True,,31,raw/bs2026_T230K/b.bs2026_T230K,1,-32,0,0,16.34539329
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.3840554623,0.012474665363169147,8.3445267293,-13.968784959,4207.091064485353,4207.091064485353,8.578942824308233e-07,8.578942824308233e-07,1.444003137,7.110079437947459e-12,True,,32,raw/bs2026_T230K/b.bs2026_T230K,1,-33,0,0,16.335336685
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.3551233712,0.012840855294725999,8.3732976611,-13.939885784,4329.891059018481,4329.891059018481,8.830484359467853e-07,8.830484359467853e-07,1.4440790641,5.017081432268612e-13,True,,33,raw/bs2026_T230K/b.bs2026_T230K,1,-34,0,0,16.325375761
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.3261912953,0.013217794417205327,8.4020686115,-13.910986612,4456.275522520353,4456.275522520353,9.089401268408803e-07,9.089401268408803e-07,1.4441549912,1.4936086647498648e-11,True,,34,raw/bs2026_T230K/b.bs2026_T230K,1,-35,0,0,16.315510691
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.2972592345,0.01360579825933705,8.4308395804,-13.882087444,4586.349085765653,4586.349085765653,9.355909792094524e-07,9.355909792094524e-07,1.4442309184,3.4080608857623323e-11,True,,35,raw/bs2026_T230K/b.bs2026_T230K,1,-36,0,0,16.30574165
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.2683271889,0.014005191608898498,8.4596105679,-13.853188278,4720.21943469293,4720.21943469293,9.630232539845573e-07,9.630232539845573e-07,1.4443068455,4.2135932511529515e-12,True,,36,raw/bs2026_T230K/b.bs2026_T230K,1,-37,0,0,16.296068811
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.2393951584,0.014416308789935177,8.488381574,-13.824289117,4857.997398239928,4857.997398239928,9.91259860010166e-07,9.91259860010166e-07,1.4443827726,3.213276107772739e-11,True,,37,raw/bs2026_T230K/b.bs2026_T230K,1,-38,0,0,16.286492345
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.2104631431,0.014839493937069565,8.5171525987,-13.795389958,4999.797040538175,4999.797040538175,1.0203243836912977e-06,1.0203243836912977e-06,1.4444586998,6.461427522397372e-12,True,,38,raw/bs2026_T230K/b.bs2026_T230K,1,-39,0,0,16.277012423
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.1815311429,0.015275101289234727,8.5459236419,-13.766490803,5145.735754838743,5145.735754838743,1.0502410980104671e-06,1.0502410980104671e-06,1.444534627,1.2781890503160537e-11,True,,39,raw/bs2026_T230K/b.bs2026_T230K,1,-40,4,3,16.267629213
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.1525991579,0.015723495480322324,8.5746947036,-13.737591651,5295.9343616935585,5295.9343616935585,1.0810349907063774e-06,1.0810349907063774e-06,1.4446105542,2.414776294808121e-11,True,,40,raw/bs2026_T230K/b.bs2026_T230K,1,-41,0,0,16.258342882
auto,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.1236671879,0.01618505185203116,8.6034657839,-13.708692502,5450.517209062986,5450.517209062986,1.112731781149534e-06,1.112731781149534e-06,1.4446864814,2.7809671720166505e-11,True,,41,raw/bs2026_T230K/b.bs2026_T230K,1,-42,0,0,16.249153598
