branch_id,T_K,w_m_s,residual_norm,equilibrium_residual_norm,eigen_residual_norm,physical_residual_norm,converged,iterations,message
lower_hopf,190.0,0.0025367906150969228,1.3960028467121025e-13,1.246123719860908e-13,6.292850092194372e-14,2.2474034508306648e-11,True,6,`gtol` termination condition is satisfied.
lower_hopf,191.0,0.002772198440014682,1.2646295550215465e-13,1.1233877529760542e-13,5.807648989887444e-14,1.9527702410378232e-11,True,6,`gtol` termination condition is satisfied.
lower_hopf,192.0,0.003026847442910302,1.0351945241725791e-13,8.822505068105418e-14,5.4153646794046525e-14,1.4846164123477358e-11,True,6,`gtol` termination condition is satisfied.
lower_hopf,193.0,0.0033020817430482103,7.649177873167062e-14,6.230529599172076e-14,4.437389215427155e-14,1.0207913504458764e-11,True,6,`gtol` termination condition is satisfied.
lower_hopf,194.0,0.0035993217181792283,5.2052847978879746e-14,3.9260680948266185e-14,3.417744744990202e-14,6.375243428850965e-12,True,6,`gtol` termination condition is satisfied.
lower_hopf,195.0,0.003920067017568138,2.923725228674564e-14,2.3086218946881153e-14,1.7939994872225537e-14,3.740412553918839e-12,True,6,`gtol` termination condition is satisfied.
lower_hopf,196.0,0.004265899577078597,2.6309441897724073e-14,1.3104402984376764e-14,2.2813622145393225e-14,2.147211284867587e-12,True,6,`gtol` termination condition is satisfied.
lower_hopf,197.0,0.004638486626194072,1.3919930122252817e-14,6.9180842436424735e-15,1.2079096199892899e-14,1.1668648902168547e-12,True,6,`gtol` termination condition is satisfied.
lower_hopf,198.0,0.005039583664715226,8.504876117698987e-15,3.48965193341879e-15,7.755981379618771e-15,6.27951830805634e-13,True,6,`gtol` termination condition is satisfied.
lower_hopf,199.0,0.005471037384146689,5.257094883550406e-15,1.5984728519823369e-15,5.008186413875517e-15,3.168616792176449e-13,True,6,`gtol` termination condition is satisfied.
lower_hopf,200.0,0.005934788510155685,1.8854237995276245e-15,6.649130420835105e-16,1.7642883977095227e-15,1.727519803052811e-13,True,6,`gtol` termination condition is satisfied.
lower_hopf,201.0,0.006432874533559481,2.8262680172538265e-15,2.488804897940195e-16,2.8152885122402225e-15,2.4426174074121886e-14,True,6,`gtol` termination condition is satisfied.
lower_hopf,202.0,0.006967432294865608,3.837033552970533e-15,8.167173609083415e-17,3.836164257972484e-15,9.725557031227796e-14,True,6,`gtol` termination condition is satisfied.
lower_hopf,203.0,0.0075407003808278675,1.0698600973829725e-15,1.4745658430065382e-17,1.0697584743902556e-15,3.3750782860580377e-14,True,6,`gtol` termination condition is satisfied.
lower_hopf,204.0,0.008155021285643415,5.375132174795903e-16,1.4631041254669006e-17,5.373140530425996e-16,2.797762380680039e-14,True,6,`gtol` termination condition is satisfied.
lower_hopf,205.0,0.00881284328241743,3.3761096917008054e-15,1.5758680784463437e-17,3.3760729130716417e-15,9.547918063666564e-14,True,6,`gtol` termination condition is satisfied.
lower_hopf,206.0,0.009516721943150884,2.37649168515806e-15,9.427846556212653e-18,2.3764729843477513e-15,5.995204361728882e-14,True,6,`gtol` termination condition is satisfied.
lower_hopf,207.0,0.010269321236663942,1.244499365011592e-15,3.4635763195248656e-18,1.2444945452485257e-15,1.1546319874110682e-14,True,6,`gtol` termination condition is satisfied.
lower_hopf,208.0,0.011073414124939375,1.3766232640557935e-15,6.605331322031015e-18,1.37660741707204e-15,5.506706203858886e-14,True,6,`gtol` termination condition is satisfied.
lower_hopf,209.0,0.011931882568097808,2.3877646117905533e-15,1.5048276804239964e-17,2.387717192358533e-15,1.3322676295629333e-13,True,6,`gtol` termination condition is satisfied.
lower_hopf,210.0,0.012847716837323758,1.8241836618447895e-16,1.2780837862019394e-18,1.824138887893411e-16,7.993605782488957e-15,True,6,`gtol` termination condition is satisfied.
lower_hopf,211.0,0.013824014023369857,1.1919208950948606e-15,8.534751408075775e-18,1.1918903381528588e-15,7.815970093366859e-14,True,6,`gtol` termination condition is satisfied.
lower_hopf,212.0,0.01486397561587758,3.089673208694497e-15,1.472205634998709e-17,3.0896381337595795e-15,1.42108547152022e-13,True,6,`gtol` termination condition is satisfied.
lower_hopf,213.0,0.015970904015831823,3.335501926796e-16,3.2662487387983008e-18,3.3353420012912406e-16,3.019806626980597e-14,True,6,`gtol` termination condition is satisfied.
lower_hopf,214.0,0.017148197830208177,4.0590916402289455e-15,1.991067233572773e-17,4.059042806980933e-15,2.0339285811132939e-13,True,6,`gtol` termination condition is satisfied.
lower_hopf,215.0,0.01839934579252795,1.785174527074767e-13,1.4503636564536183e-14,1.779273038281928e-13,1.464962196742517e-11,True,5,`gtol` termination condition is satisfied.
lower_hopf,216.0,0.019727919081947907,1.5007407194526887e-13,1.0193720113952011e-14,1.4972746955876917e-13,1.1329608458922107e-11,True,5,`gtol` termination condition is satisfied.
lower_hopf,217.0,0.02113756198315429,1.1674596609774758e-13,7.073870585834023e-15,1.1653145907878825e-13,9.615422134793138e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,218.0,0.0226319805020976,1.0158400920657928e-13,5.086302515807385e-15,1.0145659393652083e-13,7.522872905550569e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,219.0,0.024214928874778732,7.74596335531617e-14,3.6434852655429245e-15,7.737389640770242e-14,6.3149495923370194e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,220.0,0.02589019369467122,5.652088220520638e-14,2.7431712899558397e-15,5.645427474096871e-14,5.600853767303406e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,221.0,0.02766157545230726,2.1180355731121307e-14,2.0011661924427623e-15,2.1085606530689776e-14,4.472866954864852e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,222.0,0.029532867278651308,2.0740504470206708e-14,1.4654634158025876e-15,2.068866701011954e-14,3.698375218725414e-12,True,5,`gtol` termination condition is satisfied.
lower_hopf,223.0,0.031507830691200264,1.1821739881620509e-14,1.104093222389106e-15,1.1770068478346731e-14,3.2933657558636258e-12,True,5,`gtol` termination condition is satisfied.
