backend,schema_version,branch_id,T_K,temperature_K,p_Pa,pressure_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,n_kg_dry_air_inv,q,q_kg_kg,s,residual_norm,converged,stability,backend_step_index,source_file,loca_newton_iterations,loca_continuation_status,loca_step_size,loca_continuation_mode
loca,figure1-branch-schema-v1,figure1_T210K,210.0,210.0,30000.0,30000.0,1.0,10000000000.0,-5.298317366548036,0.005000000000000002,8.179481723354543,-15.988517275086462,3567.005486034709,3567.005486034709,1.1383483270091733e-07,1.1383483270091733e-07,1.511275419282707,1.976411820664749e-18,true,,0,raw/bs2026_loca_T210K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T210K,210.0,210.0,30000.0,30000.0,1.0,10000000000.0,-5.238402721076956,0.005308729589274897,8.239081771403578,-15.928657018508373,3786.062240967105,3786.062240967105,1.208570954675108e-07,1.208570954675108e-07,1.5114528345286202,1.630732248334632e-11,true,,1,raw/bs2026_loca_T210K.csv,2,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T210K,210.0,210.0,30000.0,30000.0,1.0,10000000000.0,-5.178488075605877,0.005636521970408556,8.298678581790332,-15.868800104315316,4018.5586871553173,4018.5586871553173,1.2831211991994038e-07,1.2831211991994038e-07,1.5116302399575288,5.71043931881865e-17,true,,2,raw/bs2026_loca_T210K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T210K,210.0,210.0,30000.0,30000.0,1.0,10000000000.0,-5.118573430134797,0.005984554192981187,8.358277215234201,-15.8089414495063,4265.340169955419,4265.340169955419,1.3622724186931472e-07,1.3622724186931472e-07,1.5118076506343674,2.1045959956115038e-17,true,,3,raw/bs2026_loca_T210K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T210K,210.0,210.0,30000.0,30000.0,1.0,10000000000.0,-5.058658784663717,0.006354075984579668,8.417875984701658,-15.749082748459456,4527.277229590123,4527.277229590123,1.4463062645192886e-07,1.4463062645192886e-07,1.5119850615372774,9.166449740444086e-18,true,,4,raw/bs2026_loca_T210K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T210K,210.0,210.0,30000.0,30000.0,1.0,10000000000.0,-4.998744139192637,0.006746414238367819,8.477474890092159,-15.68922400121349,4805.300651950318,4805.300651950318,1.5355239368597458e-07,1.5355239368597458e-07,1.5121624726660827,1.342695210756733e-17,true,,5,raw/bs2026_loca_T210K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T210K,210.0,210.0,30000.0,30000.0,1.0,10000000000.0,-4.938829493721557,0.0071629777777457385,8.537073931304187,-15.629365207808144,5100.398389777452,5100.398389777452,1.6302452166236542e-07,1.6302452166236542e-07,1.5123398840206044,2.8267625403604963e-18,true,,6,raw/bs2026_loca_T210K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T210K,210.0,210.0,30000.0,30000.0,1.0,10000000000.0,-4.878914848250478,0.00760526241520746,8.59667310823794,-15.569506368281507,5413.619073878345,5413.619073878345,1.7308096116925556e-07,1.7308096116925556e-07,1.512517295600668,1.2469979707671967e-17,true,,7,raw/bs2026_loca_T210K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T210K,210.0,210.0,30000.0,30000.0,1.0,10000000000.0,-4.819000202779398,0.008074856323562418,8.656272420793728,-15.509647482671616,5746.075739987492,5746.075739987492,1.837577573871573e-07,1.837577573871573e-07,1.5126947074061001,4.92041120465407e-18,true,,8,raw/bs2026_loca_T210K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T210K,210.0,210.0,30000.0,30000.0,1.0,10000000000.0,-4.7590855573083175,0.008573445738807861,8.715871868871963,-15.449788551016468,6098.949784550737,6098.949784550737,1.9509317909173721e-07,1.9509317909173721e-07,1.5128721194367265,1.9006550188946477e-17,true,,9,raw/bs2026_loca_T210K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
