backend,schema_version,branch_id,T_K,temperature_K,p_Pa,pressure_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,n_kg_dry_air_inv,q,q_kg_kg,s,residual_norm,converged,stability,backend_step_index,source_file,loca_newton_iterations,loca_continuation_status,loca_step_size,loca_continuation_mode
loca,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.298317366548036,0.005000000000000002,7.435374916659729,-14.882000589015995,1694.8930435272582,1694.8930435272582,3.4421458205033073e-07,3.4421458205033073e-07,1.4416038457752174,2.018418008178064e-17,true,,0,raw/bs2026_loca_T230K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.238402721076956,0.005308729589274897,7.494955328207326,-14.82215318166064,1798.9444014271328,1798.9444014271328,3.6544385477579983e-07,3.6544385477579983e-07,1.4417610822633602,1.2806002887503944e-11,true,,1,raw/bs2026_loca_T230K.csv,2,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.178488075605877,0.005636521970408556,7.554532515872526,-14.76230910801598,1909.377431614604,1909.377431614604,3.8798113950959155e-07,3.8798113950959155e-07,1.441918310076161,4.707361290664542e-17,true,,2,raw/bs2026_loca_T230K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.118573430134797,0.005984554192981187,7.6141115343497,-14.702463290537727,2026.5934000544362,2026.5934000544362,4.1190903923094517e-07,4.1190903923094517e-07,1.4420755425536276,1.4107532874335512e-17,true,,3,raw/bs2026_loca_T230K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-5.058658784663717,0.006354075984579668,7.673690698601729,-14.642617421790462,2151.0055266445315,2151.0055266445315,4.373126629644609e-07,4.373126629644609e-07,1.4422327752488813,1.7368227348576058e-17,true,,4,raw/bs2026_loca_T230K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.998744139192637,0.006746414238367819,7.733270008519291,-14.582771501816739,2283.0556190995117,2283.0556190995117,4.642830255504867e-07,4.642830255504867e-07,1.4423900081617516,7.240904457011713e-17,true,,5,raw/bs2026_loca_T230K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.938829493721557,0.0071629777777457385,7.792849463992016,-14.522925530660233,2423.2126110416602,2423.2126110416602,4.929167552249167e-07,4.929167552249167e-07,1.4425472412920652,1.2552632380646953e-17,true,,6,raw/bs2026_loca_T230K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.878914848250478,0.00760526241520746,7.852429064911276,-14.463079508362942,2571.974227541413,2571.974227541413,5.233164398351665e-07,5.233164398351665e-07,1.4427044746396531,1.6369439391787956e-17,true,,7,raw/bs2026_loca_T230K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.819000202779398,0.008074856323562418,7.912008811168564,-14.403233434966817,2729.8687529165027,2729.8687529165027,5.555909944078155e-07,5.555909944078155e-07,1.4428617082043467,7.626417691009449e-17,true,,8,raw/bs2026_loca_T230K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
loca,figure1-branch-schema-v1,figure1_T230K,230.0,230.0,30000.0,30000.0,1.0,10000000000.0,-4.7590855573083175,0.008573445738807861,7.971588702655484,-14.343387310513759,2897.456907082421,2897.456907082421,5.898560513876019e-07,5.898560513876019e-07,1.443018941985977,2.5485786647855045e-17,true,,9,raw/bs2026_loca_T230K.csv,1,converged,0.059914645471079817,natural_parameter_predictor_corrector
