backend,schema_version,branch_id,point_index,T_K,p_Pa,F,N_a_m3,N_a_cm3,log_w,w_m_s,log_n,log_q,n,q,s,continuation_residual_norm,physical_residual_norm,scaled_physical_residual_norm,converged,iterations,message,eigen_index,eigenvalue_real,eigenvalue_imag,eigenvalue_regime,stability_classification,jacobian_coordinate_system,jacobian_method,eigenvalue_source,source_file
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,3,230.0,30000.0,1.0,10000000000.0,10000.0,-7.5697997733917,0.0005157957143002499,5.176736637251882,-17.15083138964113,177.10391261843358,3.56031617567186e-08,1.4356430315126822,9.846643456163279e-15,1.4474202760645416e-14,6.736607975133435e-15,true,1,converged,3,-0.0003285037827870618,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,4,230.0,30000.0,1.0,10000000000.0,10000.0,-7.559432211341572,0.0005211710749177513,5.186937468872237,-17.140584214213934,178.91976566998747,3.5969869250184884e-08,1.435669953261972,8.142730275973036e-11,7.99414116611983e-11,5.568230180940259e-11,true,0,converged,1,-0.0026797646987742935,0.0008330896027742611,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,4,230.0,30000.0,1.0,10000000000.0,10000.0,-7.559432211341572,0.0005211710749177513,5.186937468872237,-17.140584214213934,178.91976566998747,3.5969869250184884e-08,1.435669953261972,8.142730275973036e-11,7.99414116611983e-11,5.568230180940259e-11,true,0,converged,2,-0.0026797646987742935,-0.0008330896027742611,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,4,230.0,30000.0,1.0,10000000000.0,10000.0,-7.559432211341572,0.0005211710749177513,5.186937468872237,-17.140584214213934,178.91976566998747,3.5969869250184884e-08,1.435669953261972,8.142730275973036e-11,7.99414116611983e-11,5.568230180940259e-11,true,0,converged,3,-0.00033261638290279973,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,5,230.0,30000.0,1.0,10000000000.0,10000.0,-7.549064649291444,0.0005266024548098747,5.19735355681598,-17.13012080130792,180.7931494112981,3.6348212774741065e-08,1.4356974431153668,1.7851628329939933e-14,1.7930652283698308e-14,1.2225684364491586e-14,true,1,converged,1,-0.0026777280583450283,0.0008293192297419434,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,5,230.0,30000.0,1.0,10000000000.0,10000.0,-7.549064649291444,0.0005266024548098747,5.19735355681598,-17.13012080130792,180.7931494112981,3.6348212774741065e-08,1.4356974431153668,1.7851628329939933e-14,1.7930652283698308e-14,1.2225684364491586e-14,true,1,converged,2,-0.0026777280583450283,-0.0008293192297419434,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,5,230.0,30000.0,1.0,10000000000.0,10000.0,-7.549064649291444,0.0005266024548098747,5.19735355681598,-17.13012080130792,180.7931494112981,3.6348212774741065e-08,1.4356974431153668,1.7851628329939933e-14,1.7930652283698308e-14,1.2225684364491586e-14,true,1,converged,3,-0.0003368816383442845,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,6,230.0,30000.0,1.0,10000000000.0,10000.0,-7.538697087241317,0.0005320904377810099,5.207769644759722,-17.119657388401908,182.6861484624604,3.6730535847334465e-08,1.4357249329687616,8.722749082693744e-11,8.166101749474066e-11,5.6877897474233246e-11,true,0,converged,1,-0.002675657536010533,0.0008254752475894609,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,6,230.0,30000.0,1.0,10000000000.0,10000.0,-7.538697087241317,0.0005320904377810099,5.207769644759722,-17.119657388401908,182.6861484624604,3.6730535847334465e-08,1.4357249329687616,8.722749082693744e-11,8.166101749474066e-11,5.6877897474233246e-11,true,0,converged,2,-0.002675657536010533,-0.0008254752475894609,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
loca,figure2-loca-eigenvalue-schema-v1,figure2_T230K,6,230.0,30000.0,1.0,10000000000.0,10000.0,-7.538697087241317,0.0005320904377810099,5.207769644759722,-17.119657388401908,182.6861484624604,3.6730535847334465e-08,1.4357249329687616,8.722749082693744e-11,8.166101749474066e-11,5.6877897474233246e-11,true,0,converged,3,-0.0003412147988746603,0.0,complex_pair,stable,physical_ode_state,sacado_forward_ad_physical_ode_state,teuchos_lapack_geev,episodes/005-figure2-eigenvalues/scripts/run_loca_figure2_eigenvalues.py
