variable,T_K,sample_count,median_abs_relative_error,max_abs_relative_error,median_absolute_error,max_absolute_error
n,190.0,174,0.0031444001289677396,0.03465189280255503,826.2944690233562,45506.57628014777
n,210.0,165,0.016380381089878958,0.036905996996794116,1052.2976816896407,32089.88768983842
n,230.0,174,0.00884626828414694,0.05666495752379999,238.875643381165,8712.650417908677
q,190.0,174,0.02135332231843054,0.06236348138486877,1.32545716704927e-08,2.5717963964829805e-07
q,210.0,164,0.017724516698600333,0.04483665798254291,3.905085590088889e-08,9.697359069487758e-07
q,230.0,174,0.012727684100228596,0.06415221420278858,8.551153313335314e-08,2.678770807901167e-06
s,190.0,174,0.00027282146432970177,0.00039385301669565603,0.00043292346319745434,0.0006239460948704867
s,210.0,174,0.0002035398470674769,0.00031001985607942136,0.00031005305688247553,0.0004696110491988481
s,230.0,174,0.0001936215280025387,0.00056605079382677,0.00028004609346399256,0.0008228361843056753
