start,cycle_index,start_time_s,end_time_s,period_s,s_max,s_min,s_amplitude,period_relative_drift,amplitude_relative_drift
paper_0.99,1,549.53668886004834,1686.0143968488774,1136.477707988829,1.4739697353957055,1.4508850825136457,0.023084652882059853,,
paper_0.99,2,1686.0143968488774,2923.5611520196894,1237.546755170812,1.4744811467211987,1.445769310391698,0.028711836329500695,0.088931834273142191,0.24376296564606287
paper_0.99,3,2923.5611520196894,4278.7899923016575,1355.2288402819681,1.4749704567421549,1.4393328620394314,0.03563759470272343,0.095093041632122455,0.24121614144570372
paper_0.99,4,4278.7899923016575,5763.9360298751608,1485.1460375735032,1.4754246589983475,1.4315687192122668,0.043855939786080711,0.095863660387056557,0.23060885988271354
paper_0.99,5,5763.9360298751608,7386.5013551429838,1622.565325267823,1.4758328577863848,1.4226512617125231,0.053181596073861748,0.092529141389247796,0.21264294718730153
paper_0.99,6,7386.5013551429838,9147.815259244624,1761.3139041016402,1.4761872367742532,1.4129813842432966,0.063205852530956674,0.085511859937543747,0.18849107956768815
paper_0.99,7,9147.815259244624,11042.389285868758,1894.5740266241337,1.476484324530301,1.4031431013532674,0.073341223177033621,0.075659496136472576,0.16035493930111758
paper_0.99,8,11042.389285868758,13058.445600490819,2016.0563146220611,1.4767248405054656,1.3937529312999435,0.08297190920552211,0.064121161955540948,0.13131340890295218
paper_0.99,9,13058.445600490819,15179.675015903489,2121.2294154126703,1.476913292218395,1.3853436895627429,0.09156960265565206,0.052167739575432144,0.10362173815759008
paper_0.99,10,15179.675015903489,17387.659893720975,2207.9848778174855,1.477056692378528,1.3782359271342124,0.0988207652443156,0.04089867025907596,0.079187441884307097
paper_0.99,11,17387.659893720975,19664.190213775419,2276.530320054444,1.4771630394726634,1.3725190670143703,0.10464397245829304,0.03104434406485302,0.058926959324598106
paper_0.99,12,19664.190213775419,21993.005105879416,2328.8148921039974,1.477240348337763,1.3681026944151395,0.10913765392262342,0.022966780450480881,0.042942573363424094
paper_0.99,13,21993.005105879416,24360.545152272709,2367.5400463932929,1.4772954945886427,1.3648064281650119,0.11248906642363088,0.016628695745890189,0.030708123003849296
paper_0.99,14,24360.545152272709,26756.163008422565,2395.6178561498564,1.4773345906014079,1.3624048268604367,0.11492976374097119,0.011859486727304658,0.021697195958127257
paper_0.99,15,26756.163008422565,29171.808621626464,2415.6456132038984,1.477361807720643,1.3606853246752293,0.11667648304541367,0.0083601635388666877,0.015198145785622917
paper_0.99,16,29171.808621626464,31601.553136152397,2429.7445145259335,1.4773809379649787,1.3594671947173667,0.11791374324761206,0.0058364940804936849,0.010604195206302298
paper_0.99,17,31601.553136152397,34041.158006295365,2439.6048701429681,1.4773940989144028,1.3586191996516011,0.11877489926280171,0.0040581861829857889,0.0073032709459598692
paper_0.99,18,34041.158006295365,36487.603628413104,2446.4456221177388,1.4774031528127682,1.3580278591452188,0.1193752936675494,0.0028040409569971853,0.0050548929822221899
paper_0.99,19,36487.603628413104,38938.784250876532,2451.1806224634274,1.4774093458188287,1.3576171879729588,0.11979215784586983,0.0019354611044204626,0.0034920473534612948
paper_0.99,20,38938.784250876532,41393.230788284694,2454.4465374081628,1.4774136105399818,1.3573333055978953,0.12008030494208644,0.0013323844496833455,0.0024053919839005663
paper_0.99,21,41393.230788284694,43849.92240978375,2456.6916214990561,1.4774165521455469,1.3571383988598733,0.12027815328567359,0.00091470075093343464,0.0016476335872279764
paper_0.99,22,43849.92240978375,46308.164868935979,2458.2424591522285,1.477418680812171,1.357004638865922,0.12041404194624894,0.00063127078693995099,0.0011297867223866904
paper_0.99,23,46308.164868935979,48767.449659395257,2459.2847904592782,1.4774200625324627,1.3569179693840627,0.12050209314839999,0.00042401484978380675,0.00073123699468834636
