time_s,n_kg_dry_air_minus1,q_kg_kg_dry_air_minus1,s
0,38478.716566238705,5.2144692568062687e-06,1.4535636345029064
0.066411655021619012,38475.102829575684,5.2144371129453383e-06,1.4535639480472944
0.73052820523780915,38438.972648459174,5.2141092462757919e-06,1.4535671176675473
7.37169370739971,38078.401562071856,5.2101931187995876e-06,1.4536022432720053
60.50903999700683,35247.381593711834,5.1400203581961392e-06,1.4541132677232809
113.64638628661396,32530.621241214896,5.0104419256248586e-06,1.4550462155030688
166.7837325762211,29951.137043389495,4.8347398616957056e-06,1.4564103343202945
219.92107886582824,27533.27108379604,4.6253933449355354e-06,1.4582044622920354
273.05842515543537,25317.248279309151,4.3940916740282012e-06,1.4604171139197626
314.61098592580191,23785.622158797662,4.2055612877497147e-06,1.4624228134955759
351.66983785074478,22671.524010482735,4.0379281597403967e-06,1.4643944252258216
383.58974157368522,22061.659283043729,3.8999652272553856e-06,1.4662039903263886
406.52700699213489,21981.555349821327,3.8093015590181231e-06,1.4675439535647985
425.33256555823721,22281.651088211722,3.7441222722879558e-06,1.4686465112970393
441.53898073445811,22929.445065471136,3.6977608249373078e-06,1.4695812021420553
456.05872179437415,23927.491922298319,3.666715985645981e-06,1.4703892079779011
470.57846285429019,25433.590760843861,3.6484217271641476e-06,1.4711500956771433
483.97131204734274,27368.291333607816,3.6453967051837647e-06,1.4717906730387655
496.55399649017147,29725.397400542421,3.6567441865009392e-06,1.4723205629464591
508.6193575487149,32496.525920192416,3.6820864835883691e-06,1.4727467613077716
520.33366653888413,35638.008000086134,3.7212641703449547e-06,1.4730697419411651
531.78413457049032,39061.922558992286,3.7739369118541338e-06,1.4732878409275127
543.03027597141011,42646.560509367526,3.8394923274662324e-06,1.4734005177279057
554.14263789453275,46258.993735235301,3.9172304440059337e-06,1.4734092392804117
565.21671701546654,49774.102190984486,4.0065969836508183e-06,1.4733164641949801
576.37094346986328,53083.686110136994,4.1073115615155724e-06,1.4731242104457403
587.74275551093035,56098.748021335217,4.2193998454187112e-06,1.4728330107674978
599.48892312125645,58748.853177570389,4.3431858024164718e-06,1.4724412536565514
611.79110947468064,60980.453611717821,4.4792796359591288e-06,1.4719446650019516
624.86696071976587,62754.711273864326,4.6285752543981676e-06,1.4713357013378132
638.9882464328515,64044.762155539895,4.7922592057488821e-06,1.4706026531840564
654.50986934319883,64832.068151968779,4.9718243011844189e-06,1.4697282254049788
671.91755212989381,65101.201160230441,5.169064772864724e-06,1.4686872539168356
691.90919141071686,64831.87812262262,5.3859781234512281e-06,1.4674430566858292
715.5361457509922,63986.249658467954,5.6243188137496115e-06,1.4659419803819014
744.40017068904763,62491.354883182459,5.8836417148747176e-06,1.4641098527472682
780.59100846580418,60241.192295633089,6.1538849454552518e-06,1.4618779351474003
826.0155026805005,57155.478602016148,6.4033763979817021e-06,1.4592640677495214
879.15284897010758,53426.680996032461,6.5721760990429405e-06,1.4565705531372484
932.29019525971466,49704.51171018857,6.6200720757686265e-06,1.4543503770759685
985.42754154932175,46062.17631263403,6.563800174482673e-06,1.4526572702792806
1038.5648878389288,42544.437776197134,6.4218429651340268e-06,1.4515213580326336
1091.702234128536,39181.061431306072,6.2125790653615977e-06,1.4509550138956298
1144.8395804181432,35991.696659657617,5.9531173837444647e-06,1.4509573241032325
1197.9769267077504,32988.461871399326,5.6586369352133957e-06,1.4515176450566225
1251.1142729973576,30177.976315922973,5.342102961602803e-06,1.4526184077422388
1304.2516192869648,27563.669207322069,5.0142594636965639e-06,1.4542372143696514
1357.388965576572,25149.835660051711,4.6838444615453954e-06,1.4563481291113496
1410.5263118661792,22952.429520365571,4.3580899842899816e-06,1.4589215988398998
1451.7085934360593,21435.172137610742,4.113196256128781e-06,1.4612112878049455
1487.024903546624,20333.996389282052,3.911915190164338e-06,1.4633599259376977
1518.5882112855338,19633.236084140797,3.7428968995066236e-06,1.465401834409942
1542.6912748813181,19435.993579960945,3.6249566409125868e-06,1.4670154382642664
1561.221869319794,19632.880243622829,3.5444999343970671e-06,1.4682681305833578
1576.836769186317,20168.099737425549,3.4866928473448733e-06,1.4693146149515199
1590.5893272158914,21040.858806809749,3.4460287230339167e-06,1.47021347325598
230925.14087378138,80688.419173555492,1.4430454579237655e-06,1.477401667364542
230931.29880935216,90307.402275629604,1.5446989211210469e-06,1.4772830401138954
230937.44308124305,99296.601226137253,1.656203431862127e-06,1.4770630265987734
230943.67151260655,107506.15441190603,1.7789362550596635e-06,1.4767407050418151
230950.07953974485,114813.42280498649,1.9145848440880401e-06,1.4763114027183044
230956.76984677339,121128.752175799,2.0652945334763014e-06,1.4757663724031465
230963.8623349999,126398.31863203048,2.2338816804893732e-06,1.4750917480944852
230971.50718132628,130604.41486651599,2.42416573613722e-06,1.4742665285143948
230979.90489581716,133763.22906836926,2.6415191624577657e-06,1.4732589374520437
230989.34080648547,135919.7628992401,2.8938377295098157e-06,1.4720197062164619
231000.25023905886,137138.56262977154,3.1933784465903334e-06,1.470468920205517
231013.35105317648,137486.43027462659,3.5604517547213063e-06,1.4684685024211441
231029.87809262957,137000.18934158763,4.0296761421919273e-06,1.4657695632913075
231051.16515496088,135690.82080202806,4.6359979799862773e-06,1.4620624593895906
231077.20973371741,133657.51112459289,5.3688925777174598e-06,1.4572533332132191
231110.80464445654,130686.29850015146,6.2803236644527045e-06,1.4507343781308373
231148.67749474556,127003.87261620148,7.236892608422071e-06,1.4431332048952386
231188.80334642742,122793.48307280785,8.143389598235844e-06,1.4349818769419833
231232.28493093621,117951.30314471015,8.9805366719210132e-06,1.4262351482861526
231279.23792934028,112489.40189320801,9.7016598316893877e-06,1.4170885629034371
231329.64149700233,106464.01436527065,1.0262280141910269e-05,1.4077989298954221
231382.77884329195,100043.93591100773,1.0625448287879634e-05,1.3987522842287623
231435.91618958156,93657.517882535161,1.0777804773921679e-05,1.390575268139058
231489.05353587118,87390.361597314841,1.0749209364020818e-05,1.383322959731204
231542.19088216079,81309.181576412433,1.0571949007559305e-05,1.3770127661714455
231595.32822845041,75463.565315029613,1.0277773032107896e-05,1.3716351345126423
231648.46557474002,69888.187445313015,9.8959708555778574e-06,1.3671620961487561
231701.60292102964,64605.176478413145,9.4523034958452074e-06,1.3635538562412186
231754.74026731926,59626.425242426638,8.9685730401746476e-06,1.3607637196625513
231807.87761360887,54955.715410442659,8.4626288446614896e-06,1.3587416633104263
231861.01495989849,50590.587910937269,7.9486441220137399e-06,1.3574368452279051
231914.1523061881,46523.934797376547,7.4375370666396411e-06,1.3567993027868728
231967.28965247772,42745.316882905485,6.9374483366621628e-06,1.3567810479502194
232020.42699876733,39242.028466240066,6.4542177580332386e-06,1.3573367247546302
232073.56434505695,35999.939048592954,5.9918266312485268e-06,1.3584239563317539
232126.70169134656,33004.144832300517,5.5527886448294717e-06,1.3600034773217242
232179.83903763618,30239.462139529991,5.1384834072092041e-06,1.3620391223996779
232232.97638392579,27690.792240716983,4.7494333855225474e-06,1.3644977221481225
232286.11373021541,25343.383489553173,4.3855288221049138e-06,1.3673489427405077
232339.25107650502,23183.012797668092,4.0462069784127211e-06,1.370565094916061
232392.38842279464,21196.104747757196,3.730592571328031e-06,1.3741209296810986
232445.52576908426,19369.803252355141,3.4376060404889979e-06,1.3779934323623049
232498.66311537387,17692.00770927246,3.1660456681486013e-06,1.3821616224972413
232551.80046166349,16151.383102353919,2.9146487894033582e-06,1.3866063641365203
232604.9378079531,14737.351424117371,2.682136515957595e-06,1.3913101891157766
232658.07515424272,13440.070110373741,2.467245626701932e-06,1.3962571344831829
232711.21250053233,12250.401823497927,2.2687505906107467e-06,1.4014325943547481
232764.34984682195,11159.878847717358,2.0854780954529738e-06,1.4068231858798321
