T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,s,n,q,branch,point,type_code,label
230.0,30000.0,1.0,10000000000.0,-5.2983173665,0.005000000000240183,7.4353749762,-14.882000707,1.4416038456,1694.893144441653,3.442145414385182e-07,1,-1,9,1
230.0,30000.0,1.0,10000000000.0,-5.2751713264,0.005117079942283195,7.4583911683,-14.858881184,1.4416645871,1734.355525445857,3.5226532397185547e-07,1,-2,0,0
230.0,30000.0,1.0,10000000000.0,-5.2520252764,0.005236901478737154,7.4814074517,-14.835761762,1.4417253286,1774.7368753827304,3.6050436864528716e-07,1,-3,0,0
230.0,30000.0,1.0,10000000000.0,-5.2230927276,0.005390631564224386,7.5101778228,-14.806862486,1.4418012554,1826.5383140972046,3.7107468549016706e-07,1,-4,0,0
230.0,30000.0,1.0,10000000000.0,-5.1941601942,0.005548874335652468,7.5389482127,-14.777963215,1.4418771822,1879.8517807700005,3.819549317545956e-07,1,-5,0,0
230.0,30000.0,1.0,10000000000.0,-5.1652276761,0.0057117622591974825,7.5677186213,-14.749063946,1.441953109,1934.7214106995932,3.9315419591925915e-07,1,-6,0,0
230.0,30000.0,1.0,10000000000.0,-5.1362951734,0.0058794316882549245,7.5964890487,-14.720164681,1.4420290358,1991.1926278875917,4.0468183102279976e-07,1,-7,0,0
230.0,30000.0,1.0,10000000000.0,-5.1073626859,0.006052022980431908,7.6252594949,-14.691265419,1.4421049626,2049.3121820879396,4.1654746551985437e-07,1,-8,0,0
230.0,30000.0,1.0,10000000000.0,-5.0784302138,0.006229680610931918,7.6540299599,-14.662366161,1.4421808895,2109.1281876949115,4.2876100935500537e-07,1,-9,0,0
230.0,30000.0,1.0,10000000000.0,-5.049497757,0.00641255329762065,7.6828004436,-14.633466906,1.4422568164,2170.690163361269,4.413326638830605e-07,1,-10,0,0
