T_K,p_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,s,n,q,branch,point,type_code,label
190.0,30000.0,1.0,10000000000.0,-5.2983173665,0.005000000000240183,9.1918055736,-17.304489915,1.5683097229,9816.359146616069,3.053201856377264e-08,1,1,9,1
190.0,30000.0,1.0,10000000000.0,-5.2751774977,0.005117048363345189,9.2148188293,-17.281361348,1.5683883218,10044.885006010174,3.124640998010268e-08,1,2,0,0
190.0,30000.0,1.0,10000000000.0,-5.257821634,0.005206634329403287,9.2320826556,-17.26401975,1.5684472644,10219.803694513685,3.179299832062006e-08,1,3,0,0
190.0,30000.0,1.0,10000000000.0,-5.2288952061,0.005359443113136313,9.2608557144,-17.235117091,1.568545502,10518.130005920422,3.2725308734029735e-08,1,4,0,0
190.0,30000.0,1.0,10000000000.0,-5.1999687931,0.005516736578321232,9.2896287918,-17.206214436,1.5686437397,10825.1649626667,3.368495845071628e-08,1,5,0,0
190.0,30000.0,1.0,10000000000.0,-5.1710423948,0.005678646341558432,9.3184018878,-17.177311784,1.5687419774,11141.162790592283,3.467274920595472e-08,1,6,0,0
190.0,30000.0,1.0,10000000000.0,-5.1421160113,0.005845307880379511,9.3471750025,-17.148409136,1.568840215,11466.385138305328,3.568950617674493e-08,1,7,0,0
190.0,30000.0,1.0,10000000000.0,-5.1131896425,0.00601686064936135,9.3759481357,-17.119506492,1.5689384528,11801.101289293923,3.673607877122713e-08,1,8,0,0
190.0,30000.0,1.0,10000000000.0,-5.0842632884,0.006193448195119576,9.4047212875,-17.090603851,1.5690366905,12145.588391696472,3.781334134335915e-08,1,9,0,0
190.0,30000.0,1.0,10000000000.0,-5.0553369491,0.006375218276326744,9.4334944579,-17.061701215,1.5691349282,12500.131683313712,3.8922193773170425e-08,1,10,0,0
190.0,30000.0,1.0,10000000000.0,-5.0264106245,0.006562322989216144,9.4622676468,-17.032798582,1.5692331659,12865.024727636435,4.0063562482226015e-08,1,11,0,0
190.0,30000.0,1.0,10000000000.0,-4.9974843146,0.0067549188929991065,9.4910408544,-17.003895952,1.5693314037,13240.569662049906,4.123840098289565e-08,1,12,0,0
190.0,30000.0,1.0,10000000000.0,-4.9685580195,0.006953167140762517,9.5198140804,-16.974993327,1.5694296415,13627.077437694015,4.244769066349315e-08,1,13,0,0
190.0,30000.0,1.0,10000000000.0,-4.939631739,0.007157233617064919,9.5485873251,-16.946090705,1.5695278792,14024.868091415485,4.369244185790604e-08,1,14,0,0
190.0,30000.0,1.0,10000000000.0,-4.9107054733,0.007367289071880679,9.5773605883,-16.917188087,1.569626117,14434.270996098672,4.497369439963973e-08,1,15,0,0
190.0,30000.0,1.0,10000000000.0,-4.8817792222,0.007583509269111617,9.60613387,-16.888285473,1.5697243548,14855.625142797982,4.629251865664867e-08,1,16,0,0
190.0,30000.0,1.0,10000000000.0,-4.8528529859,0.007806075127832435,9.6349071703,-16.859382863,1.5698225927,15289.279420332776,4.765001638427423e-08,1,17,0,0
190.0,30000.0,1.0,10000000000.0,-4.8239267642,0.008035172879646828,9.6636804891,-16.830480256,1.5699208305,15735.592899699543,4.9047321694688786e-08,1,18,0,0
190.0,30000.0,1.0,10000000000.0,-4.7950005572,0.008270994219171575,9.6924538264,-16.801577653,1.5700190683,16194.935135827956,5.0485601860016634e-08,1,19,0,0
190.0,30000.0,1.0,10000000000.0,-4.7660743649,0.008513736467479594,9.7212271823,-16.772675054,1.5701173062,16667.686473829366,5.196605842901558e-08,1,20,4,2
190.0,30000.0,1.0,10000000000.0,-4.7371481873,0.008763602736436366,9.7500005566,-16.743772458,1.5702155441,17154.238357337395,5.348992823803818e-08,1,21,0,0
190.0,30000.0,1.0,10000000000.0,-4.7082220243,0.009020802099541652,9.7787739495,-16.714869867,1.5703137819,17654.993664283928,5.505848423183558e-08,1,22,0,0
190.0,30000.0,1.0,10000000000.0,-4.679295876,0.009285549764202894,9.8075473608,-16.685967279,1.5704120198,18170.367026982596,5.6673036900005566e-08,1,23,0,0
190.0,30000.0,1.0,10000000000.0,-4.6503697423,0.009558067255353764,9.8363207906,-16.657064694,1.5705102577,18700.785187545946,5.833493505396513e-08,1,24,0,0
190.0,30000.0,1.0,10000000000.0,-4.6214436233,0.009838582597135579,9.865094239,-16.628162114,1.5706084957,19246.687346281546,6.004556693758495e-08,1,25,0,0
190.0,30000.0,1.0,10000000000.0,-4.5925175189,0.010127330507450998,9.8938677057,-16.599259537,1.5707067336,19808.52551748315,6.180636174025383e-08,1,26,0,0
190.0,30000.0,1.0,10000000000.0,-4.5635914292,0.010424552590465071,9.922641191,-16.570356964,1.5708049715,20386.76492299405,6.361879038060839e-08,1,27,0,0
190.0,30000.0,1.0,10000000000.0,-4.5346653541,0.010730497542745153,9.9514146947,-16.541454395,1.5709032095,20981.884356107297,6.548436697037275e-08,1,28,0,0
190.0,30000.0,1.0,10000000000.0,-4.5057392936,0.011045421358330624,9.9801882169,-16.512551829,1.5710014475,21594.37659385321,6.740465008830034e-08,1,29,0,0
190.0,30000.0,1.0,10000000000.0,-4.4768132478,0.011369587542763217,10.008961758,-16.483649267,1.5710996854,22224.748805977255,6.93812438838759e-08,1,30,0,0
190.0,30000.0,1.0,10000000000.0,-4.4478872165,0.011703267338070542,10.037735317,-16.454746709,1.5711979234,22873.52293702715,7.141579961193797e-08,1,31,0,0
190.0,30000.0,1.0,10000000000.0,-4.4189611999,0.01204673994177751,10.066508894,-16.425844155,1.5712961614,23541.23619285007,7.351001694849805e-08,1,32,0,0
190.0,30000.0,1.0,10000000000.0,-4.3900351979,0.012400292748497872,10.09528249,-16.396941604,1.5713943995,24228.441484195246,7.566564548629693e-08,1,33,0,0
190.0,30000.0,1.0,10000000000.0,-4.3611092105,0.012764221585807572,10.124056104,-16.368039057,1.5714926375,24935.707815449106,7.788448597376855e-08,1,34,0,0
190.0,30000.0,1.0,10000000000.0,-4.3321832376,0.013138830964205648,10.152829737,-16.339136514,1.5715908755,25663.62085143029,8.016839203774125e-08,1,35,0,0
190.0,30000.0,1.0,10000000000.0,-4.3032572794,0.013524434326670493,10.181603388,-16.310233975,1.5716891136,26412.783303993452,8.25192716605164e-08,1,36,0,0
